Rec #,Lang,ISBN-13,Course,Unit Num,start,stop,QZ #,line #,spkr,Cue,# of words,Q or S,Course Name (Source),Skills,
1,FR,978-1-4423-5032-8,French 2,1,0:05:24,0:05:26,01Q,58,N,I’ve been here since one day.,,,"French Phase 2, Units 1-30 (2004)","1,12,17,18",
2,FR,978-1-4423-5032-8,French 2,1,0:05:31,0:05:33,01R,59,M,Je suis ici depuis un jour.,6,S,"French Phase 2, Units 1-30 (2004)","1,12,17,18",
3,FR,978-1-4423-5032-8,French 2,1,0:07:32,0:07:32,02Q,77,N,What did you do?,,,"French Phase 2, Units 1-30 (2004)","1,7",
4,FR,978-1-4423-5032-8,French 2,1,0:07:35,0:07:36,02R,78,F,Qu’est-ce que vous avez fait?,5,Q,"French Phase 2, Units 1-30 (2004)","1,7",
5,FR,978-1-4423-5032-8,French 2,1,0:08:04,0:08:06,03Q,82,N,What did you do today?,,,"French Phase 2, Units 1-30 (2004)","7,17",
6,FR,978-1-4423-5032-8,French 2,1,0:08:09,0:08:11,03R,83,F,Qu’est-ce que vous avez fait aujourd’hui?,6,Q,"French Phase 2, Units 1-30 (2004)","7,17",
7,FR,978-1-4423-5032-8,French 2,1,0:09:13,0:09:14,04Q,95,N,I bought a French newspaper.,,,"French Phase 2, Units 1-30 (2004)","1,14",
8,FR,978-1-4423-5032-8,French 2,1,0:10:37,0:10:39,04R,108,M,J’ai acheté un journal français.,5,S,"French Phase 2, Units 1-30 (2004)","1,14",
9,FR,978-1-4423-5032-8,French 2,1,0:10:56,0:10:58,05Q,111,N,I don’t like to eat at the hotel.,,,"French Phase 2, Units 1-30 (2004)","6,18",
10,FR,978-1-4423-5032-8,French 2,1,0:11:02,0:11:04,05R,112,M,Je n’aime pas manger à l’hôtel.,6,S,"French Phase 2, Units 1-30 (2004)","6,18",
11,FR,978-1-4423-5032-8,French 2,1,0:13:23,0:13:25,06Q,137,N,"No, I didn’t buy anything.",,,"French Phase 2, Units 1-30 (2004)",14,
12,FR,978-1-4423-5032-8,French 2,1,0:13:31,0:13:32,06R,138,F,"Non, je n’ai rien acheté.",5,S,"French Phase 2, Units 1-30 (2004)",14,
13,FR,978-1-4423-5032-8,French 2,1,0:14:08,0:14:09,07Q,144,N,We didn’t buy anything.,,,"French Phase 2, Units 1-30 (2004)",14,
14,FR,978-1-4423-5032-8,French 2,1,0:14:13,0:14:15,07R,145,F,Nous n’avons rien acheté.,4,S,"French Phase 2, Units 1-30 (2004)",14,
15,FR,978-1-4423-5032-8,French 2,1,0:14:24,0:14:26,08Q,147,N,But we went to a good restaurant.,,,"French Phase 2, Units 1-30 (2004)",6,
16,FR,978-1-4423-5032-8,French 2,1,0:14:35,0:14:37,08R,149,F,Mais nous sommes allés dans un bon restaurant.,8,S,"French Phase 2, Units 1-30 (2004)",6,
17,FR,978-1-4423-5032-8,French 2,1,0:14:55,0:14:56,09Q,153,N,With some American friends.,,,"French Phase 2, Units 1-30 (2004)",5,
18,FR,978-1-4423-5032-8,French 2,1,0:15:00,0:15:01,09R,154,F,Avec des amis américains.,4,S,"French Phase 2, Units 1-30 (2004)",5,
19,FR,978-1-4423-5032-8,French 2,1,0:19:07,0:19:09,10Q,201,N,I’m going to buy something for the older one.,,,"French Phase 2, Units 1-30 (2004)","5,12,14",
20,FR,978-1-4423-5032-8,French 2,1,0:19:15,0:19:17,10R,202,F,Je vais acheter quelque chose pour l’aînée.,7,S,"French Phase 2, Units 1-30 (2004)","5,12,14",
21,FR,978-1-4423-5032-8,French 2,2,0:03:48,0:03:50,01Q,51,N,I didn’t see anything.,,,"French Phase 2, Units 1-30 (2004)",7,
22,FR,978-1-4423-5032-8,French 2,2,0:03:53,0:03:54,01R,52,M,Je n’ai rien vu.,4,S,"French Phase 2, Units 1-30 (2004)",7,
23,FR,978-1-4423-5032-8,French 2,2,0:04:35,0:04:36,02Q,59,N,I didn’t buy anything this morning.,,,"French Phase 2, Units 1-30 (2004)","14,17",
24,FR,978-1-4423-5032-8,French 2,2,0:04:41,0:04:43,02R,60,M,Je n’ai rien acheté ce matin.,6,S,"French Phase 2, Units 1-30 (2004)","14,17",
25,FR,978-1-4423-5032-8,French 2,2,0:06:25,0:06:26,03Q,70,N,Why are you here in Paris?,,,"French Phase 2, Units 1-30 (2004)",18,
26,FR,978-1-4423-5032-8,French 2,2,0:06:34,0:06:36,03R,72,F,Pourquoi est-ce que vous êtes ici à Paris?,8,Q,"French Phase 2, Units 1-30 (2004)",18,
27,FR,978-1-4423-5032-8,French 2,2,0:08:07,0:08:08,04Q,86,N,Are you here alone?,,,"French Phase 2, Units 1-30 (2004)",7,
28,FR,978-1-4423-5032-8,French 2,2,0:08:13,0:08:15,04R,87,F,Est-ce que vous êtes ici seul?,6,Q,"French Phase 2, Units 1-30 (2004)",7,
29,FR,978-1-4423-5032-8,French 2,2,0:10:18,0:10:20,05Q,110,N,The older one or the younger one?,,,"French Phase 2, Units 1-30 (2004)","5,12",
30,FR,978-1-4423-5032-8,French 2,2,0:10:23,0:10:25,05R,111,F,L’aînée ou la cadette?,4,Q,"French Phase 2, Units 1-30 (2004)","5,12",
31,FR,978-1-4423-5032-8,French 2,2,0:10:57,0:10:59,06Q,119,N,Say that the younger one (f) lives in Marseille.,,,"French Phase 2, Units 1-30 (2004)","5,12",
32,FR,978-1-4423-5032-8,French 2,2,0:11:03,0:11:05,06R,120,M,La cadette habite à Marseille.,5,S,"French Phase 2, Units 1-30 (2004)","5,12",
33,FR,978-1-4423-5032-8,French 2,2,0:13:01,0:13:03,07Q,139,N,My wife rented a car.,,,"French Phase 2, Units 1-30 (2004)","5,18,20",
34,FR,978-1-4423-5032-8,French 2,2,0:13:08,0:13:10,07R,140,M,Ma femme a loué une voiture.,6,S,"French Phase 2, Units 1-30 (2004)","5,18,20",
35,FR,978-1-4423-5032-8,French 2,2,0:13:55,0:13:56,08Q,148,N,We need a car.,,,"French Phase 2, Units 1-30 (2004)","16,18",
36,FR,978-1-4423-5032-8,French 2,2,0:13:59,0:14:01,08R,149,M,Nous avons besoin d’une voiture.,5,S,"French Phase 2, Units 1-30 (2004)","16,18",
37,FR,978-1-4423-5032-8,French 2,2,0:17:59,0:18:01,09Q,188,N,We’re going to have dinner with our son ---,,,"French Phase 2, Units 1-30 (2004)","5,6",
38,FR,978-1-4423-5032-8,French 2,2,0:18:05,0:18:08,09R,189,M,Nous allons dîner avec notre fils ---,6,S,"French Phase 2, Units 1-30 (2004)","5,6",
39,FR,978-1-4423-5032-8,French 2,2,0:20:37,0:20:39,10Q,211,N,Our son arrived in Paris yesterday.,,,"French Phase 2, Units 1-30 (2004)","5,17,18",
40,FR,978-1-4423-5032-8,French 2,2,0:20:45,0:20:47,10R,213,M,Notre fils est arrivé à Paris hier.,7,S,"French Phase 2, Units 1-30 (2004)","5,17,18",
41,FR,978-1-4423-5032-8,French 2,2,0:22:36,0:22:38,11Q,232,N,We didn’t see our son yesterday.,,,"French Phase 2, Units 1-30 (2004)","5,17",
42,FR,978-1-4423-5032-8,French 2,2,0:22:42,0:22:44,11R,233,M,Nous n’avons pas vu notre fils hier.,7,S,"French Phase 2, Units 1-30 (2004)","5,17",
43,FR,978-1-4423-5032-8,French 2,3,0:03:32,0:03:35,01Q,47,N,We arrived last night with our younger son.,,,"French Phase 2, Units 1-30 (2004)","5,18",
44,FR,978-1-4423-5032-8,French 2,3,0:03:41,0:03:46,01R,48,M,Nous sommes arrivés hier soir avec notre fils cadet.,9,S,"French Phase 2, Units 1-30 (2004)","5,18",
