Rec #,Lang,ISBN-13,Course,Unit Num,start,stop,QZ #,line #,spkr,Cue,# of words,Q or S,Course Name (Source),Skills
1,FR,978-1-4423-5033-5,French 3,1,0:02:23,0:02:26,01Q,35,N,Can you show me on the map where the post office is?,,,"French Phase 3, Units 1-30 (2005)","4,16"
2,FR,978-1-4423-5033-5,French 3,1,0:02:32,0:02:35,01R,36,M,Est-ce que vous pouvez me montrer sur le plan où est la poste?,13,Q,"French Phase 3, Units 1-30 (2005)","4,16"
3,FR,978-1-4423-5033-5,French 3,1,0:02:51,0:02:52,02Q,38,N,You don’t need this map.,,,"French Phase 3, Units 1-30 (2005)","4,18"
4,FR,978-1-4423-5033-5,French 3,1,0:02:56,0:02:58,02R,39,F,Vous n’avez pas besoin de ce plan.,7,S,"French Phase 3, Units 1-30 (2005)","4,18"
5,FR,978-1-4423-5033-5,French 3,1,0:04:17,0:04:19,03Q,54,N,What are you doing this weekend?,,,"French Phase 3, Units 1-30 (2005)","1,17"
6,FR,978-1-4423-5033-5,French 3,1,0:04:22,0:04:23,03R,55,M,Qu’est-ce que vous faites ce week-end?,6,Q,"French Phase 3, Units 1-30 (2005)","1,17"
7,FR,978-1-4423-5033-5,French 3,1,0:05:29,0:05:31,04Q,67,N,Would you like to come have dinner at our place?,,,"French Phase 3, Units 1-30 (2005)","1,6"
8,FR,978-1-4423-5033-5,French 3,1,0:05:35,0:05:39,04R,68,M,Est-ce que vous aimeriez venir dîner chez nous?,8,Q,"French Phase 3, Units 1-30 (2005)","1,6"
9,FR,978-1-4423-5033-5,French 3,1,0:10:11,0:10:12,05Q,109,N,Would you like to come have lunch?,,,"French Phase 3, Units 1-30 (2005)",6
10,FR,978-1-4423-5033-5,French 3,1,0:10:16,0:10:18,05R,110,M,Est-ce que vous aimeriez venir déjeuner?,6,Q,"French Phase 3, Units 1-30 (2005)",6
11,FR,978-1-4423-5033-5,French 3,1,0:11:53,0:11:54,06Q,125,N,Can I come by bus?,,,"French Phase 3, Units 1-30 (2005)",18
12,FR,978-1-4423-5033-5,French 3,1,0:11:58,0:11:59,06R,126,F,Est-ce que je peux venir en bus?,7,Q,"French Phase 3, Units 1-30 (2005)",18
13,FR,978-1-4423-5033-5,French 3,1,0:15:25,0:15:27,07Q,159,N,We can drink a glass of wine before lunch.,,,"French Phase 3, Units 1-30 (2005)","6,17"
14,FR,978-1-4423-5033-5,French 3,1,0:15:33,0:15:36,07R,160,M,Nous pouvons boire un verre de vin avant le déjeuner.,10,S,"French Phase 3, Units 1-30 (2005)","6,17"
15,FR,978-1-4423-5033-5,French 3,1,0:17:01,0:17:02,08Q,173,N,I’m sorry to be late.,,,"French Phase 3, Units 1-30 (2005)","13,17"
