Rec #,Lang,Source Audio ISBN_13,Course,Unit Num,start,stop,QZ #,line #,Speaker,Cue,#of words,_Q_or_S,Course Name _Source_,Skills
1,SP,978-1-4423-5039-7,Spanish 3,1,0:05:59,0:06:02,01Q,69,N,We’re looking for the Buena Vista Restaurant.,,,"Spanish Phase 3, Units 1-30 (2004)","4,6"
2,SP,978-1-4423-5039-7,Spanish 3,1,0:06:06,0:06:10,01R,70,M,Buscamos el restaurante Buena Vista.,5,S,"Spanish Phase 3, Units 1-30 (2004)","4,6"
3,SP,978-1-4423-5039-7,Spanish 3,1,0:08:21,0:08:22,02Q,93,N,There it is.,,,"Spanish Phase 3, Units 1-30 (2004)",7
4,SP,978-1-4423-5039-7,Spanish 3,1,0:08:25,0:08:27,02R,94,F,Allí está.,2,S,"Spanish Phase 3, Units 1-30 (2004)",7
5,SP,978-1-4423-5039-7,Spanish 3,1,0:08:29,0:08:31,03Q,95,N,It’s located right there.,,,"Spanish Phase 3, Units 1-30 (2004)",4
6,SP,978-1-4423-5039-7,Spanish 3,1,0:08:33,0:08:36,03R,96,F,Queda allí mismo.,3,S,"Spanish Phase 3, Units 1-30 (2004)",4
7,SP,978-1-4423-5039-7,Spanish 3,1,0:10:01,0:10:03,04Q,108,N,A pleasure to meet you (f).,,,"Spanish Phase 3, Units 1-30 (2004)","7,10"
8,SP,978-1-4423-5039-7,Spanish 3,1,0:10:07,0:10:10,04R,109,M,Mucho gusto en conocerla.,4,S,"Spanish Phase 3, Units 1-30 (2004)","7,10"
9,SP,978-1-4423-5039-7,Spanish 3,1,0:11:30,0:11:33,05Q,121,N,Allow me to introduce myself.,,,"Spanish Phase 3, Units 1-30 (2004)","7,10,13"
10,SP,978-1-4423-5039-7,Spanish 3,1,0:11:35,0:11:38,05R,122,M,Permítame presentarme.,2,S,"Spanish Phase 3, Units 1-30 (2004)","7,10,13"
11,SP,978-1-4423-5039-7,Spanish 3,1,0:12:00,0:12:02,06Q,126,N,Pleased to meet you (m).,,,"Spanish Phase 3, Units 1-30 (2004)","10,13,16"
12,SP,978-1-4423-5039-7,Spanish 3,1,0:12:10,0:12:12,06R,127,F,Mucho gusto en conocerlo.,4,S,"Spanish Phase 3, Units 1-30 (2004)","10,13,16"
13,SP,978-1-4423-5039-7,Spanish 3,1,0:13:56,0:14:00,07Q,142,N,Allow me to introduce to you Mr. Gómez.,,,"Spanish Phase 3, Units 1-30 (2004)","10,13"
14,SP,978-1-4423-5039-7,Spanish 3,1,0:14:04,0:14:08,07R,144,F,Permítame presentarle al señor Gómez.,5,S,"Spanish Phase 3, Units 1-30 (2004)","10,13"
15,SP,978-1-4423-5039-7,Spanish 3,1,0:16:43,0:16:46,08Q,168,N,Allow me to introduce to you my colleague.,,,"Spanish Phase 3, Units 1-30 (2004)","10,13"
16,SP,978-1-4423-5039-7,Spanish 3,1,0:16:54,0:16:58,08R,169,F,Permítame presentarle a mi colega.,4,S,"Spanish Phase 3, Units 1-30 (2004)","10,13"
17,SP,978-1-4423-5039-7,Spanish 3,1,0:21:21,0:21:23,09Q,208,N,What do you do?,,,"Spanish Phase 3, Units 1-30 (2004)",7
18,SP,978-1-4423-5039-7,Spanish 3,1,0:21:25,0:21:28,09R,209,M,¿A qué se dedica?,3,Q,"Spanish Phase 3, Units 1-30 (2004)",7
19,SP,978-1-4423-5039-7,Spanish 3,1,0:22:32,0:22:35,10Q,218,N,I work at an international company.,,,"Spanish Phase 3, Units 1-30 (2004)",20
20,SP,978-1-4423-5039-7,Spanish 3,1,0:22:40,0:22:44,10R,219,F,Trabajo en una empresa internacional.,5,S,"Spanish Phase 3, Units 1-30 (2004)",20
