Control #,Rec #,Lang,Source Audio ISBN_13,Course,Unit Num,start,stop,Cluster,QZ #,Speaker,Cue,Snippet Name,Skills
1,1,GR,978-1-4423-7056-2,German 4,1,,,U01-01,01Q_A,N,I’m going to the States on business.,9781442370562_German_4_QZ_0001.mp3,"9,18,20"
2,2,GR,978-1-4423-7056-2,German 4,1,,,U01-01,01R_A,F,Ich fahre geschäftlich in die Staaten.,9781442370562_German_4_QZ_0002.mp3,"9,18,20"
3,3,GR,978-1-4423-7056-2,German 4,1,,,U01-01,01Q_B,N,I was in the States on business.,9781442370562_German_4_QZ_0003.mp3,"9,18,20"
4,4,GR,978-1-4423-7056-2,German 4,1,,,U01-01,01R_B,F,Ich war geschäftlich in den Staaten.,9781442370562_German_4_QZ_0004.mp3,"9,18,20"
5,5,GR,978-1-4423-7056-2,German 4,1,,,U01-01,01Q_C,N,I have to go to the States on business.,9781442370562_German_4_QZ_0005.mp3,"9,18,20"
6,6,GR,978-1-4423-7056-2,German 4,1,,,U01-01,01R_C,M,Ich muss geschäftlich in die Staaten fahren.,9781442370562_German_4_QZ_0006.mp3,"9,18,20"
7,7,GR,978-1-4423-7056-2,German 4,1,,,U01-01,01Q_D,N,I am in the States on business.,9781442370562_German_4_QZ_0007.mp3,"9,18,20"
8,8,GR,978-1-4423-7056-2,German 4,1,,,U01-01,01R_D,F,Ich bin geschäftlich in den Staaten.,9781442370562_German_4_QZ_0008.mp3,"9,18,20"
9,9,GR,978-1-4423-7056-2,German 4,1,,,U01-02,02Q_A,N,We often meet here.,9781442370562_German_4_QZ_0009.mp3,"1,17"
10,10,GR,978-1-4423-7056-2,German 4,1,,,U01-02,02R_A,M,Wir treffen uns oft hier.,9781442370562_German_4_QZ_0010.mp3,"1,17"
11,11,GR,978-1-4423-7056-2,German 4,1,,,U01-02,02Q_B,N,We’re going to meet later.,9781442370562_German_4_QZ_0011.mp3,"1,17"
