Control #,Rec,Lang,Source ISBN,Course,Unit Num,StartTime,StopTime,Cluster,Qz #,Spkr,Cue,Snippet Name,Skills
1,1,IT,978-1-4423-6191-1,Italian 4,1,,,U01-01,01Q_A,N,You looked for them in your briefcase.,9781442370579_Italian_4_QZ_0001.mp3,20
2,2,IT,978-1-4423-6191-1,Italian 4,1,,,U01-01,01R_A,F,Le ha cercate nella Sua valigetta.,9781442370579_Italian_4_QZ_0002.mp3,20
3,3,IT,978-1-4423-6191-1,Italian 4,1,,,U01-01,01Q_B,N,You looked for them in your suitcase.,9781442370579_Italian_4_QZ_0003.mp3,18
4,4,IT,978-1-4423-6191-1,Italian 4,1,,,U01-01,01R_B,F,Le ha cercate nella Sua valigia.,9781442370579_Italian_4_QZ_0004.mp3,18
5,5,IT,978-1-4423-6191-1,Italian 4,1,,,U01-01,01Q_C,N,I didn’t look for them in my briefcase.,9781442370579_Italian_4_QZ_0005.mp3,20
6,6,IT,978-1-4423-6191-1,Italian 4,1,,,U01-01,01R_C,M,Non le ho cercate nella mia valigetta.,9781442370579_Italian_4_QZ_0006.mp3,20
7,7,IT,978-1-4423-6191-1,Italian 4,1,,,U01-01,01Q_D,N,I looked for them under your briefcase.,9781442370579_Italian_4_QZ_0007.mp3,"4,20"
8,8,IT,978-1-4423-6191-1,Italian 4,1,,,U01-01,01R_D,F,Le ho cercate sotto la Sua valigetta.,9781442370579_Italian_4_QZ_0008.mp3,"4,20"
9,9,IT,978-1-4423-6191-1,Italian 4,1,,,U01-02,02Q_A,N,I’m an art critic.,9781442370579_Italian_4_QZ_0009.mp3,5
10,10,IT,978-1-4423-6191-1,Italian 4,1,,,U01-02,02R_A,M,Sono un critico d’arte.,9781442370579_Italian_4_QZ_0010.mp3,5
11,11,IT,978-1-4423-6191-1,Italian 4,1,,,U01-02,02Q_B,N,I work for an art magazine.,9781442370579_Italian_4_QZ_0011.mp3,20
12,12,IT,978-1-4423-6191-1,Italian 4,1,,,U01-02,02R_B,F,Lavoro per una rivista d’arte.,9781442370579_Italian_4_QZ_0012.mp3,20
