"Control#","Rec #","Lang","Source Audio ISBN-13","Course","Unit Num","Start","Stop","QZ #","line #","Speaker","Cue","#of words","Q or S","Course Name (Source)","Snippet Name","Skills"
"1","1","BP","9781442311718","BrazPort 2","1","","","01Q","","N","To what cinema?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_001.mp3","1,4"
"2","2","BP","9781442311718","BrazPort 2","1","","","01R","205","M","A que cinema?","3","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_002.mp3","1,4"
"3","3","BP","9781442311718","BrazPort 2","1","","","02Q","","N","On what street?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_003.mp3","4"
"4","4","BP","9781442311718","BrazPort 2","1","","","02R","135","F","Em que rua?","3","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_004.mp3","4"
"5","5","BP","9781442311718","BrazPort 2","1","","","03Q","","N","I like the movies more than the theater.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_005.mp3","1,9"
"6","6","BP","9781442311718","BrazPort 2","1","","","03R","83","M","Eu gosto mais de cinema do que de teatro.","9","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_006.mp3","1,9"
"7","7","BP","9781442311718","BrazPort 2","1","","","04Q","","N","How long does it take to get there?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_007.mp3","4,18"
"8","8","BP","9781442311718","BrazPort 2","1","","","04R","162","F","Quanto tempo leva para chegar lá?","6","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_008.mp3","4,18"
"9","9","BP","9781442311718","BrazPort 2","1","","","05Q","","N","What movie theater?","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_009.mp3","1"
"10","10","BP","9781442311718","BrazPort 2","1","","","05R","101","M","Que cinema?","2","Q","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_010.mp3","1"
"11","11","BP","9781442311718","BrazPort 2","1","","","06Q","","N","It takes half an hour by subway.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_011.mp3","4,17,18"
"12","12","BP","9781442311718","BrazPort 2","1","","","06R","215","F","Leva meia hora de metrô.","5","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_012.mp3","4,17,18"
"13","13","BP","9781442311718","BrazPort 2","1","","","07Q","","N","But you (f) can go by subway.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_013.mp3","4,18"
"14","14","BP","9781442311718","BrazPort 2","1","","","07R","113","M","Mas a senhora pode ir de metrô.","6","S","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_014.mp3","4,18"
"15","15","BP","9781442311718","BrazPort 2","1","","","08Q","","N","I have to work.","","","Port (Braz) 2, Units 1 - 30 (2014)","9781442374997_Brazilian_Portuguese_2_QZ_015.mp3","20"
