"Control#","Rec #","Lang","Audio Source ISBN-13","Course","Unit Num","start","stop","QZ #","line #","spkr","Cue","#of words","Q or S","Course Name (Source)","Snippet Name","Skills"
"1","1","BP","9781442312081","BrazPort 3","1","","","01Q","","N","Did you grow up in Washington?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_001.mp3","9,10"
"2","2","BP","9781442312081","BrazPort 3","1","","","01R","201","M","A senhora cresceu em Washington?","4","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_002.mp3","9,10"
"3","3","BP","9781442312081","BrazPort 3","1","","","02Q","","N","I grew up in Los Angeles.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_003.mp3","9,10"
"4","4","BP","9781442312081","BrazPort 3","1","","","02R","208","F","Eu cresci em Los Angeles.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_004.mp3","9,10"
"5","5","BP","9781442312081","BrazPort 3","1","","","03Q","","N","I’d like to introduce myself.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_005.mp3","10,13"
"6","6","BP","9781442312081","BrazPort 3","1","","","03R","155","M","Eu gostaria de me apresentar.","5","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_006.mp3","10,13"
"7","7","BP","9781442312081","BrazPort 3","1","","","04Q","","N","I work for a company.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_007.mp3","10,20"
"8","8","BP","9781442312081","BrazPort 3","1","","","04R","241","F","Eu trabalho para uma empresa.","5","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_008.mp3","10,20"
"9","9","BP","9781442312081","BrazPort 3","1","","","05Q","","N","My husband is a diplomat.","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_009.mp3","5,10,20"
"10","10","BP","9781442312081","BrazPort 3","1","","","05R","217","F","O meu marido é diplomata.","4","S","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_010.mp3","5,10,20"
"11","11","BP","9781442312081","BrazPort 3","1","","","06Q","","N","What do you do?","","","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_011.mp3","1,20"
"12","12","BP","9781442312081","BrazPort 3","1","","","06R","236","M","O que a senhora faz?","3","Q","Port (Braz) 3, Units 1 - 30 (2010)","9781442375000_Brazilian_Portuguese_3_QZ_012.mp3","1,20"
