Control #,Rec #,Lang,Source Audio ISBN_13,Course,Unit Num,start,stop,QZ #,line #,Speaker,Cue,Transliteration,#of words,_Q_or_S,Course Name _Source_,Snippet Name,Skills
1,1,RU,9781442313200,Russian 3,1,,,01Q,,N,"Next week, we will have an important meeting.",,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_1.mp3,"9,17,20"
2,2,RU,9781442313200,Russian 3,1,,,01R,,M,На следующей неделе у нас будет важная встреча.,Na sleduyushchey nedele u nas budet vazhnaya vstrecha.,8,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_2.mp3,"9,17,20"
3,3,RU,9781442313200,Russian 3,1,,,02Q,,N,It will be snowing,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_3.mp3,"9,19"
4,4,RU,9781442313200,Russian 3,1,,,02R,,F,Будет идти снег.,Budet idti sneg.,3,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_4.mp3,"9,19"
5,5,RU,9781442313200,Russian 3,1,,,03Q,,N,I can show you on the map.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_5.mp3,"4,16"
6,6,RU,9781442313200,Russian 3,1,,,03R,,F,Я могу показать Вам на карте.,Ya mogu pokazat’ Vam na karte.,6,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_6.mp3,"4,16"
7,7,RU,9781442313200,Russian 3,1,,,04Q,,N,It’s snowing.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_7.mp3,"9,19"
8,8,RU,9781442313200,Russian 3,1,,,04R,,F,Идёт снег.,Idyot sneg.,2,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_8.mp3,"9,19"
9,9,RU,9781442313200,Russian 3,1,,,05Q,,N,What’s the best way to get to the airport from here?,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_9.mp3,"4,9,16,18"
10,10,RU,9781442313200,Russian 3,1,,,05R,,M,Как лучше отсюда добраться до аэропорта?,Kak luchshe otsyuda dobratsa do aeroporta?,6,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_10.mp3,"4,9,16,18"
11,11,RU,9781442313200,Russian 3,1,,,06Q,,N,"In the winter in Petersburg, it often snows.",,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_11.mp3,"9,17,18,19"
12,12,RU,9781442313200,Russian 3,1,,,06R,,F,Зимой в Петербурге часто идёт снег.,Zimoy v Peterburge chasto idyot sneg.,6,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_12.mp3,"9,17,18,19"
13,13,RU,9781442313200,Russian 3,1,,,07Q,,N,That was a long time ago.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_13.mp3,"9,17"
14,14,RU,9781442313200,Russian 3,1,,,07R,,M,Это было давно.,Eto bylo davno.,3,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_14.mp3,"9,17"
15,15,RU,9781442313200,Russian 3,1,,,08Q,,N,I’m going downtown.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_15.mp3,"1,9"
16,16,RU,9781442313200,Russian 3,1,,,08R,,M,Я иду в центр.,Ya idu v tsentr.,4,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_16.mp3,"1,9"
17,17,RU,9781442313200,Russian 3,1,,,09Q,,N,I have a map of the city.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_17.mp3,"4,9"
18,18,RU,9781442313200,Russian 3,1,,,09R,,M,У меня есть карта города.,U menya yest’ karta goroda.,5,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_18.mp3,"4,9"
19,19,RU,9781442313200,Russian 3,1,,,10Q,,N,I can show you the ticket.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_19.mp3,"9,16"
20,20,RU,9781442313200,Russian 3,1,,,10R,,M,Я могу показать Вам билет.,Ya mogu pokazat’ Vam bilet.,5,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_20.mp3,"9,16"
21,21,RU,9781442313200,Russian 3,1,,,11Q,,N,"Now, in Petersburg, it’s snowing.",,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_21.mp3,"17,18,19"
22,22,RU,9781442313200,Russian 3,1,,,11R,,F,Сейчас в Петербурге идёт снег.,Seychas v Peterburge idyot sneg.,5,S,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_22.mp3,"17,18,19"
23,23,RU,9781442313200,Russian 3,2,,,01Q,,N,Let’s get acquainted.,,,,"Russian Phase 3, Units 1-30",9781442384293_Russian_3_QZ_23.mp3,"1,7,16"
