Control #,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,start,stop,QZ #,line #,Speaker,Cue,Transliteration,#of words,Q or S,Course Name (Source),Snippet name,Skills
1,1,MA,9781442316775,Mandarin 3,1,,,01Q,,N,Boston’s winter is very cold.,,,,Pimsleur Chinese (Mandarin) Level 3 MP3,9781442394896_Mandarin_Chinese_3_QM_001.mp3,19
2,2,MA,9781442316775,Mandarin 3,1,,,01R,,M,波士顿的冬天很冷。,bō shì dùn de dōng tiān hěn lěng.,8,S,Pimsleur Chinese (Mandarin) Level 3 MP3,9781442394896_Mandarin_Chinese_3_QM_002.mp3,19
3,3,MA,9781442316775,Mandarin 3,1,,,02Q,,N,"Besides, it sometimes snows.",,,,Pimsleur Chinese (Mandarin) Level 3 MP3,9781442394896_Mandarin_Chinese_3_QM_003.mp3,19
4,4,MA,9781442316775,Mandarin 3,1,,,02R,,M,而且有时候下雪。,ér qiě yǒu shí hòu xià xuě.,7,S,Pimsleur Chinese (Mandarin) Level 3 MP3,9781442394896_Mandarin_Chinese_3_QM_004.mp3,19
5,5,MA,9781442316775,Mandarin 3,1,,,03Q,,N,Have you been to Beijing?,,,,Pimsleur Chinese (Mandarin) Level 3 MP3,9781442394896_Mandarin_Chinese_3_QM_005.mp3,18
6,6,MA,9781442316775,Mandarin 3,1,,,03R,,F,您去过北京吗？,nín qù guò běi jīng ma?,6,Q,Pimsleur Chinese (Mandarin) Level 3 MP3,9781442394896_Mandarin_Chinese_3_QM_006.mp3,18
7,7,MA,9781442316775,Mandarin 3,1,,,04Q,,N,Did you go to Beijing?,,,,Pimsleur Chinese (Mandarin) Level 3 MP3,9781442394896_Mandarin_Chinese_3_QM_007.mp3,18
8,8,MA,9781442316775,Mandarin 3,1,,,04R,,F,您去北京了吗？,nín qù běi jīng le ma ?,7,Q,Pimsleur Chinese (Mandarin) Level 3 MP3,9781442394896_Mandarin_Chinese_3_QM_008.mp3,18
9,9,MA,9781442316775,Mandarin 3,1,,,05Q,,N,Do they often return to see you?,,,,Pimsleur Chinese (Mandarin) Level 3 MP3,9781442394896_Mandarin_Chinese_3_QM_009.mp3,"5,7"
10,10,MA,9781442316775,Mandarin 3,1,,,05R,,M,他们常常回来看您吗？,tā men cháng cháng huí lai kàn nín ma?,9,Q,Pimsleur Chinese (Mandarin) Level 3 MP3,9781442394896_Mandarin_Chinese_3_QM_010.mp3,"5,7"
11,11,MA,9781442316775,Mandarin 3,1,,,06Q,,N,"Yesterday, it snowed a lot.",,,,Pimsleur Chinese (Mandarin) Level 3 MP3,9781442394896_Mandarin_Chinese_3_QM_011.mp3,"17,19"
12,12,MA,9781442316775,Mandarin 3,1,,,06R,,F,昨天雪下得很大。,zuó tiān xuě xià de hěn dà.,7,S,Pimsleur Chinese (Mandarin) Level 3 MP3,9781442394896_Mandarin_Chinese_3_QM_012.mp3,"17,19"
13,13,MA,9781442316775,Mandarin 3,1,,,07Q,,N,What kind of place is Boston?,,,,Pimsleur Chinese (Mandarin) Level 3 MP3,9781442394896_Mandarin_Chinese_3_QM_013.mp3,18
14,14,MA,9781442316775,Mandarin 3,1,,,07R,,F,波士顿是一个什么样的地方？,bō shì dùn shì yí gè shén me yàng de dì fāng?,12,Q,Pimsleur Chinese (Mandarin) Level 3 MP3,9781442394896_Mandarin_Chinese_3_QM_014.mp3,18
15,15,MA,9781442316775,Mandarin 3,1,,,08Q,,N,Do your children work in Boston?,,,,Pimsleur Chinese (Mandarin) Level 3 MP3,9781442394896_Mandarin_Chinese_3_QM_015.mp3,"5,20"
16,16,MA,9781442316775,Mandarin 3,1,,,08R,,F,您的小孩儿在波士顿工作吗？,nín de xiǎo háir zài bō shì dùn gōng zuò ma?,11,Q,Pimsleur Chinese (Mandarin) Level 3 MP3,9781442394896_Mandarin_Chinese_3_QM_016.mp3,"5,20"
17,17,MA,9781442316775,Mandarin 3,1,,,09Q,,N,"Yes, I’ve been to Beijing.",,,,Pimsleur Chinese (Mandarin) Level 3 MP3,9781442394896_Mandarin_Chinese_3_QM_017.mp3,18
18,18,MA,9781442316775,Mandarin 3,1,,,09R,,M,去过，我去过北京。,"qù guo, wŏ qù guo běi jīng.",7,S,Pimsleur Chinese (Mandarin) Level 3 MP3,9781442394896_Mandarin_Chinese_3_QM_018.mp3,18
19,19,MA,9781442316775,Mandarin 3,1,,,10Q,,N,When did you go to Beijing?,,,,Pimsleur Chinese (Mandarin) Level 3 MP3,9781442394896_Mandarin_Chinese_3_QM_019.mp3,18
