Control #,Rec,Lang,ISBN,Course,Unit Num,Start,Stop,Cluster,Qz #,Spkr,Cue,#of words,Q or S,Course Name (Source),Snippet Name,Skills
1,1,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-01,01Q_A,N,It’s on the ground floor.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0001.mp3,"4,9"
2,2,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-01,01R_A,M,C’est au rez-de-chaussée.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0002.mp3,"4,9"
3,3,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-01,01Q_B,N,It’s upstairs.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0003.mp3,"4,9"
4,4,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-01,01R_B,M,C’est en haut.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0004.mp3,"4,9"
5,5,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-01,01Q_C,N,It’s downstairs.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0005.mp3,"4,9"
6,6,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-01,01R_C,F,C’est en bas.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0006.mp3,"4,9"
7,7,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-01,01Q_D,N,It’s on the first floor.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0007.mp3,"4,9"
8,8,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-01,01R_D,F,C’est au premier étage.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0008.mp3,"4,9"
9,9,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-02,02Q_A,N,It’s jet lag.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0009.mp3,"8,9"
10,10,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-02,02R_A,M,C’est le décalage horaire.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0010.mp3,"8,9"
11,11,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-02,02Q_B,N,It’s the vending machine.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0011.mp3,9
12,12,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-02,02R_B,M,C’est le distributeur.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0012.mp3,9
13,13,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-02,02Q_C,N,It’s the ground floor.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0013.mp3,"4,9"
14,14,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-02,02R_C,F,C’est le rez-de-chaussée.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0014.mp3,"4,9"
15,15,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-02,02Q_D,N,It’s the top.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0015.mp3,"4,9"
16,16,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-02,02R_D,F,C’est le haut.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0016.mp3,"4,9"
17,17,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-03,03Q_A,N,It’s always hard to take off.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0017.mp3,"7,18"
18,18,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-03,03R_A,M,C’est toujours dur de partir.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0018.mp3,"7,18"
19,19,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-03,03Q_B,N,It’s always hard to go out.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0019.mp3,"7,18"
20,20,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-03,03R_B,M,C’est toujours dur de sortir.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0020.mp3,"7,18"
21,21,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-03,03Q_C,N,It’s always hard to sleep.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0021.mp3,"7,8"
22,22,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-03,03R_C,F,C’est toujours dur de dormir.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0022.mp3,"7,8"
23,23,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-03,03Q_D,N,It’s always hard to finish.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0023.mp3,7
24,24,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-03,03R_D,F,C’est toujours dur de finir.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0024.mp3,7
25,25,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-04,04Q_A,N,He would have wanted that I stay with him.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0025.mp3,18
26,26,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-04,04R_A,M,Il aurait voulu que je reste avec lui.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0026.mp3,18
27,27,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-04,04Q_B,N,He would have wanted that I come with him.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0027.mp3,"1,9"
28,28,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-04,04R_B,M,Il aurait voulu que je vienne avec lui.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0028.mp3,"1,9"
29,29,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-04,04Q_C,N,He wanted that I stay with him.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0029.mp3,18
30,30,FR,9781442381834,Pimsleur French Level 5,1,N/A,N/A,U01-04,04R_C,F,Il voulait que je reste avec lui.,N/A,N/A,Pimsleur French Level 5 MP3,9781442396173_French_5_QZ_0030.mp3,18
