Control #,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,start,stop,QZ #,line #,Speaker,Cue,Transliteration,#of words,Q or S,Course Name (Source),Snippet Name,Skills
1,1,JP,9781442310964,Japanese 3,1,,,01Q,,N,When did you go to New York?,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0001.mp3,"1,9,18"
2,2,JP,9781442310964,Japanese 3,1,,,01R,,F,いつニューヨークにいらっしゃいましたか。,itsu nyuu yooku ni irasshaimashita ka.,6,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0002.mp3,"1,9,18"
3,3,JP,9781442310964,Japanese 3,1,,,02Q,,N,I'm Diane Jackson of Ichiban Bank.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0003.mp3,"7,10,20"
4,4,JP,9781442310964,Japanese 3,1,,,02R,,F,一番銀行のダイアン・ジャクソンと申します。,ichiban ginkoo no diane jackson to mooshimasu.,7,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0004.mp3,"7,10,20"
5,5,JP,9781442310964,Japanese 3,1,,,03Q,,N,Last year's summer was hot.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0005.mp3,"9,17,19"
6,6,JP,9781442310964,Japanese 3,1,,,03R,,M,去年の夏は暑かったです。,kyo nen no natsu wa atsukatta desu.,7,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0006.mp3,"9,17,19"
7,7,JP,9781442310964,Japanese 3,1,,,04Q,,N,"It rained yesterday, didn’t it.",,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0007.mp3,"17,19"
8,8,JP,9781442310964,Japanese 3,1,,,04R,,M,昨日は雨が降りましたね。,kino wa ame ga furimashita ne.,6,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0008.mp3,"17,19"
9,9,JP,9781442310964,Japanese 3,1,,,05Q,,N,Last year's winter was cold.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0009.mp3,"9,17,19"
10,10,JP,9781442310964,Japanese 3,1,,,05R,,M,去年の冬は寒かったです。,kyo nen no fuyu wa samukatta desu.,7,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0010.mp3,"9,17,19"
11,11,JP,9781442310964,Japanese 3,1,,,06Q,,N,It snowed a lot.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0011.mp3,"9,19"
12,12,JP,9781442310964,Japanese 3,1,,,06R,,M,たくさん雪がふりました。,takusan yuki ga furimashita.,4,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0012.mp3,"9,19"
13,13,JP,9781442310964,Japanese 3,1,,,07Q,,N,In May there is a conference there.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0013.mp3,"9,17,20"
14,14,JP,9781442310964,Japanese 3,1,,,07R,,M,五月にそこで会議があります。,go gatsu ni soko de kaigi ga arimasu.,8,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0014.mp3,"9,17,20"
15,15,JP,9781442310964,Japanese 3,1,,,08Q,,N,Do you know Mr. Suzuki? (polite),,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0015.mp3,"5,7,13"
16,16,JP,9781442310964,Japanese 3,1,,,08R,,M,鈴木さんをご存知ですか。,suzuki san o gozonji desu ka.,6,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0016.mp3,"5,7,13"
17,17,JP,9781442310964,Japanese 3,1,,,09Q,,N,"Last year, in June I went to New York.",,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0017.mp3,"9,17,18"
18,18,JP,9781442310964,Japanese 3,1,,,09R,,M,去年、六月にニューヨークへ行きました。,"kyo nen, roku gatsu ni nyuu yooku e ikimashita.",9,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0018.mp3,"9,17,18"
