Control #,Rec #,Lang,Source Audio ISBN_13,Course,Unit Num,start,stop,Cluster,QZ #,Speaker,Cue,#of words,_Q_or_S,Course Name _Source_,Snippet Name,Skills
1,1,GR,9781442395497,German 5,1,,,U01-01,01Q_A,N,The food was excellent.,,,,9781508230892_German_5_QZ_0001.mp3,6
2,2,GR,9781442395497,German 5,1,,,U01-01,01R_A,F,Das Essen war ausgezeichnet.,,,,9781508230892_German_5_QZ_0002.mp3,6
3,3,GR,9781442395497,German 5,1,,,U01-01,01Q_B,N,The food is excellent.,,,,9781508230892_German_5_QZ_0003.mp3,6
4,4,GR,9781442395497,German 5,1,,,U01-01,01R_B,F,Das Essen ist ausgezeichnet.,,,,9781508230892_German_5_QZ_0004.mp3,6
5,5,GR,9781442395497,German 5,1,,,U01-01,01Q_C,N,The food is delicious.,,,,9781508230892_German_5_QZ_0005.mp3,6
6,6,GR,9781442395497,German 5,1,,,U01-01,01R_C,M,Das Essen ist lecker.,,,,9781508230892_German_5_QZ_0006.mp3,6
7,7,GR,9781442395497,German 5,1,,,U01-01,01Q_D,N,The food was healthy.,,,,9781508230892_German_5_QZ_0007.mp3,6
8,8,GR,9781442395497,German 5,1,,,U01-01,01R_D,F,Das Essen war gesund.,,,,9781508230892_German_5_QZ_0008.mp3,6
9,9,GR,9781442395497,German 5,1,,,U01-02,02Q_A,N,We had to wait for the service.,,,,9781508230892_German_5_QZ_0009.mp3,"1,14,20"
10,10,GR,9781442395497,German 5,1,,,U01-02,02R_A,M,Wir mussten auf die Bedienung warten.,,,,9781508230892_German_5_QZ_0010.mp3,"1,14,20"
11,11,GR,9781442395497,German 5,1,,,U01-02,02Q_B,N,We are waiting for the service.,,,,9781508230892_German_5_QZ_0011.mp3,"14,20"
12,12,GR,9781442395497,German 5,1,,,U01-02,02R_B,F,Wir warten auf die Bedienung.,,,,9781508230892_German_5_QZ_0012.mp3,"14,20"
13,13,GR,9781442395497,German 5,1,,,U01-02,02Q_C,N,We have to wait for the service.,,,,9781508230892_German_5_QZ_0013.mp3,"1,14,20"
14,14,GR,9781442395497,German 5,1,,,U01-02,02R_C,F,Wir müssen auf die Bedienung warten.,,,,9781508230892_German_5_QZ_0014.mp3,"1,14,20"
15,15,GR,9781442395497,German 5,1,,,U01-02,02Q_D,N,We’re still waiting for the service.,,,,9781508230892_German_5_QZ_0015.mp3,"1,14,20"
16,16,GR,9781442395497,German 5,1,,,U01-02,02R_D,M,Wir warten immer noch auf die Bedienung.,,,,9781508230892_German_5_QZ_0016.mp3,"1,14,20"
17,17,GR,9781442395497,German 5,1,,,U01-03,03Q_A,N,I’m looking forward to my vacation.,,,,9781508230892_German_5_QZ_0017.mp3,"7,18"
18,18,GR,9781442395497,German 5,1,,,U01-03,03R_A,F,Ich freue mich auf meinen Urlaub.,,,,9781508230892_German_5_QZ_0018.mp3,"7,18"
19,19,GR,9781442395497,German 5,1,,,U01-03,03Q_B,N,I’m looking forward to our vacation.,,,,9781508230892_German_5_QZ_0019.mp3,"7,18"
20,20,GR,9781442395497,German 5,1,,,U01-03,03R_B,F,Ich freue mich auf unseren Urlaub.,,,,9781508230892_German_5_QZ_0020.mp3,"7,18"
21,21,GR,9781442395497,German 5,1,,,U01-03,03Q_C,N,I’m very much looking forward to the vacation.,,,,9781508230892_German_5_QZ_0021.mp3,"7,18"
22,22,GR,9781442395497,German 5,1,,,U01-03,03R_C,F,Ich freue mich sehr auf den Urlaub.,,,,9781508230892_German_5_QZ_0022.mp3,"7,18"
23,23,GR,9781442395497,German 5,1,,,U01-03,03Q_D,N,I’m always looking forward to vacation.,,,,9781508230892_German_5_QZ_0023.mp3,"7,18"
24,24,GR,9781442395497,German 5,1,,,U01-03,03R_D,F,Ich freue mich immer auf Urlaub.,,,,9781508230892_German_5_QZ_0024.mp3,"7,18"
25,25,GR,9781442395497,German 5,1,,,U01-04,04Q_A,N,It’s worthwhile to call there.,,,,9781508230892_German_5_QZ_0025.mp3,3
26,26,GR,9781442395497,German 5,1,,,U01-04,04R_A,M,Es lohnt sich dort anzurufen.,,,,9781508230892_German_5_QZ_0026.mp3,3
27,27,GR,9781442395497,German 5,1,,,U01-04,04Q_B,N,It’s worthwhile to go there.,,,,9781508230892_German_5_QZ_0027.mp3,"4,18"
28,28,GR,9781442395497,German 5,1,,,U01-04,04R_B,M,Es lohnt sich dorthin zu gehen.,,,,9781508230892_German_5_QZ_0028.mp3,"4,18"
29,29,GR,9781442395497,German 5,1,,,U01-04,04Q_C,N,It’s really worthwhile to go there.,,,,9781508230892_German_5_QZ_0029.mp3,"4,18"
30,30,GR,9781442395497,German 5,1,,,U01-04,04R_C,F,Es lohnt sich wirklich dorthin zu fahren.,,,,9781508230892_German_5_QZ_0030.mp3,"4,18"
31,31,GR,9781442395497,German 5,1,,,U01-04,04Q_D,N,It’s worthwhile to call there first.,,,,9781508230892_German_5_QZ_0031.mp3,3
32,32,GR,9781442395497,German 5,1,,,U01-04,04R_D,M,Es lohnt sich erst dort anzurufen.,,,,9781508230892_German_5_QZ_0032.mp3,3
33,33,GR,9781442395497,German 5,1,,,U01-05,05Q_A,N,The weather there is too changeable.,,,,9781508230892_German_5_QZ_0033.mp3,"18,19"
34,34,GR,9781442395497,German 5,1,,,U01-05,05R_A,F,Das Wetter dort ist zu wechselhaft.,,,,9781508230892_German_5_QZ_0034.mp3,"18,19"
35,35,GR,9781442395497,German 5,1,,,U01-05,05Q_B,N,The weather can be very changeable.,,,,9781508230892_German_5_QZ_0035.mp3,"18,19"
36,36,GR,9781442395497,German 5,1,,,U01-05,05R_B,M,Das Wetter kann sehr wechselhaft sein.,,,,9781508230892_German_5_QZ_0036.mp3,"18,19"
37,37,GR,9781442395497,German 5,1,,,U01-05,05Q_C,N,The weather was very changeable.,,,,9781508230892_German_5_QZ_0037.mp3,"18,19"
