"Control #","Rec","Lang","ISBN","Course","Unit Num","Start","Stop","Cluster","Qz #","Spkr","Cue","#of words","Q or S","Course Name (Source)","Snippet Name","Skills"
"1","1","BP","9781508235460","BrazPort 4","1","","","U01-01","01Q_A","N","She was ninety when she died.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0001.mp3","5,12"
"2","2","BP","9781508235460","BrazPort 4","1","","","U01-01","01R_A","M","Ela tinha noventa anos quando morreu.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0002.mp3","5,12"
"3","3","BP","9781508235460","BrazPort 4","1","","","U01-01","01Q_B","N","She died when she was ninety.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0003.mp3","5,12"
"4","4","BP","9781508235460","BrazPort 4","1","","","U01-01","01R_B","M","Ela morreu quando tinha noventa anos.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0004.mp3","5,12"
"5","5","BP","9781508235460","BrazPort 4","1","","","U01-01","01Q_C","N","She was eighty-nine when she died.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0005.mp3","5,12"
"6","6","BP","9781508235460","BrazPort 4","1","","","U01-01","01R_C","M","Ela tinha oitenta e nove anos quando morreu.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0006.mp3","5,12"
"7","7","BP","9781508235460","BrazPort 4","1","","","U01-01","01Q_D","N","He died when he was ninety.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0007.mp3","5,12"
"8","8","BP","9781508235460","BrazPort 4","1","","","U01-01","01R_D","M","Ele morreu quando tinha noventa anos.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0008.mp3","5,12"
"9","9","BP","9781508235460","BrazPort 4","1","","","U01-02","02Q_A","N","He came to work.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0009.mp3","1,20"
"10","10","BP","9781508235460","BrazPort 4","1","","","U01-02","02R_A","M","Ele veio para trabalhar.","","S","Portuguese (Brazilian) Level 4 MP3","Brazilian_Portuguese_Level_4_QM_0010.mp3","1,20"
