Control #,Rec #,Lang,Source Audio ISBN_13,Course,Unit Num,QZ #,Speaker,Cue,Transliteration,#of words,_Q_or_S,Course Name _Source_,Snippet Name,Skills
1,1,JP,9781508235958,Japanese 5,1,01Q,N,"Since after graduation, we haven't seen, for sure. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_001.mp3,18
2,2,JP,9781508235958,Japanese 5,1,01R,M,卒業してから会ってないよ。,sotsugyoo shite kara atte nai yo.,6,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_002.mp3,18
3,3,JP,9781508235958,Japanese 5,1,02Q,N,It’s my lawyer friend.,,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_003.mp3,"5,9"
4,4,JP,9781508235958,Japanese 5,1,02R,M,私の弁護士の友達です。,watashi no bengoshi no tomodachi desu.,6,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_004.mp3,"5,9"
5,5,JP,9781508235958,Japanese 5,1,03Q,N,I wonder how many years it has been. [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_005.mp3,"7,17"
6,6,JP,9781508235958,Japanese 5,1,03R,M,何年ぶりかな。,nan nen buri kana.,4,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_006.mp3,"7,17"
7,7,JP,9781508235958,Japanese 5,1,04Q,N,I’m interested in Japanese food also.,,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_007.mp3,"6,9"
8,8,JP,9781508235958,Japanese 5,1,04R,M,日本の食べ物にも興味があります。,nihon no tabemono ni mo kyoomi ga arimasu.,8,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_008.mp3,"6,9"
9,9,JP,9781508235958,Japanese 5,1,05Q,N,"You know my cell phone number, don’t you.",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_009.mp3,"3,7"
10,10,JP,9781508235958,Japanese 5,1,05R,M,私の携帯の番号をしっていますね。,watashi no keitai no bangoo o shitte imasu ne.,9,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_010.mp3,"3,7"
11,11,JP,9781508235958,Japanese 5,1,06Q,N,"That’s right, isn’t it. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_011.mp3,7
12,12,JP,9781508235958,Japanese 5,1,06R,M,そうだね。,soo da ne.,3,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_012.mp3,7
13,13,JP,9781508235958,Japanese 5,1,07Q,N,"It’s been a while, hasn’t it. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_013.mp3,7
14,14,JP,9781508235958,Japanese 5,1,07R,M,久しぶりだね。,hisashiburi da ne.,3,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_014.mp3,7
15,15,JP,9781508235958,Japanese 5,1,08Q,N,How was the flight? [informal],,,Q,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_015.mp3,"7,9,18"
16,16,JP,9781508235958,Japanese 5,1,08R,F,飛行機はどうだった? ,hikooki wa doo datta?,4,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_016.mp3,"7,9,18"
17,17,JP,9781508235958,Japanese 5,1,09Q,N,It was all right / It was so-so. [informal],,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_017.mp3,"7,9"
18,18,JP,9781508235958,Japanese 5,1,09R,F,まあまあだった。,maa maa datta.,3,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_018.mp3,"7,9"
19,19,JP,9781508235958,Japanese 5,1,010Q,N,"As for the seat, it was tight, though. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_019.mp3,"9,18"
20,20,JP,9781508235958,Japanese 5,1,010R,F,席はきつかったけど。,seki wa kitsukatta kedo.,4,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_020.mp3,"9,18"
21,21,JP,9781508235958,Japanese 5,2,01Q,N,"Since you can’t extend legs, right. [informal]",,,S,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_021.mp3,18
22,22,JP,9781508235958,Japanese 5,2,01R,F,脚が伸ばせないからね。,ashi ga nobasenai kara ne.,5,,Pimsleur Japanese Level 5 MP3,9781508235972_Japanese_5_QZ_022.mp3,
