Control #,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,start,stop,Cluster,Qz #,Spkr,Cue,Transliteration,#of words,Q or S,Course Name (Source),Snippet Name,Skills
1,1,RU,9781508236009,Russian 4,1,,,U01-01,01Q_A,N,What’s the best way to get downtown from here?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0001.mp3,"4,9"
2,2,RU,9781508236009,Russian 4,1,,,U01-01,01R_A,M,Как лучше отсюда добраться до центра?,Kak luchshe otsiuda dobrat’sia do tsentra?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0002.mp3,"4,9"
3,3,RU,9781508236009,Russian 4,1,,,U01-01,01Q_B,N,What’s the best way to get to the airport from here?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0003.mp3,"4,9,16,18"
4,4,RU,9781508236009,Russian 4,1,,,U01-01,01R_B,M,Как лучше отсюда добраться до аэропорта?,Kak luchshe otsiuda dobrat’sia do aeroporta?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0004.mp3,"4,9,16,18"
5,5,RU,9781508236009,Russian 4,1,,,U01-01,01Q_C,N,What's the best way to get to Petersburg?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0005.mp3,"4,9,18"
6,6,RU,9781508236009,Russian 4,1,,,U01-01,01R_C,M,Как лучше отсюда добраться до Петербурга?,Kak luchshe otsiuda dobrat’sia do Peterburga?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0006.mp3,"4,9,18"
7,7,RU,9781508236009,Russian 4,1,,,U01-01,01Q_D,N,Where is it possible to find the downtown?,,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0007.mp3,4
8,8,RU,9781508236009,Russian 4,1,,,U01-01,01R_D,F,Где можно найти центр?,Gde mozhno najti tsentr?,,Q,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0008.mp3,4
9,9,RU,9781508236009,Russian 4,1,,,U01-02,02Q_A,N,"By taxi, you can get into traffic.",,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0009.mp3,"9,18"
10,10,RU,9781508236009,Russian 4,1,,,U01-02,02R_A,F,На такси Вы можете попасть в пробку.,Na taksi Vy mozhete popast’ v probku.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0010.mp3,"9,18"
11,11,RU,9781508236009,Russian 4,1,,,U01-02,02Q_B,N,We can drive there by taxi.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0011.mp3,"9,18"
12,12,RU,9781508236009,Russian 4,1,,,U01-02,02R_B,M,Мы можем туда поехать на такси.,My mozhem tuda poehat' na taksi.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0012.mp3,"9,18"
13,13,RU,9781508236009,Russian 4,1,,,U01-02,02Q_C,N,"By taxi, this takes too much time.",,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0013.mp3,"9,17,18"
14,14,RU,9781508236009,Russian 4,1,,,U01-02,02R_C,M,"На такси, это займёт слишком много времени.","Na taksi, èto zajmiot slishkom mnogo vremini.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0014.mp3,"9,17,18"
15,15,RU,9781508236009,Russian 4,1,,,U01-02,02Q_D,N,You can get into traffic for a few hours.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0015.mp3,"9,17"
16,16,RU,9781508236009,Russian 4,1,,,U01-02,02R_D,M,Вы можете попасть в пробку на несколько часов.,Vy mozhete popast’ na probku na neskol'ko chasov.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0016.mp3,"9,17"
17,17,RU,9781508236009,Russian 4,1,,,U01-03,03Q_A,N,You can buy tickets at the ticket counter.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0017.mp3,"9,14"
18,18,RU,9781508236009,Russian 4,1,,,U01-03,03R_A,F,Вы можете купить билеты в кассе.,Vy mozhete kupit’ bilety v kasse.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0018.mp3,"9,14"
19,19,RU,9781508236009,Russian 4,1,,,U01-03,03Q_B,N,I need to buy a ticket.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0019.mp3,"9,14"
20,20,RU,9781508236009,Russian 4,1,,,U01-03,03R_B,F,Мне надо купить билет.,Mne nado kupit’ bilet.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0020.mp3,"9,14"
21,21,RU,9781508236009,Russian 4,1,,,U01-03,03Q_C,N,It’s possible to buy tickets over there.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0021.mp3,"4,9,14"
22,22,RU,9781508236009,Russian 4,1,,,U01-03,03R_C,M,Там можно купить билеты.,Tam mozhno kupit’ bilety.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0022.mp3,"4,9,14"
23,23,RU,9781508236009,Russian 4,1,,,U01-03,03Q_D,N,You can buy tickets at the office.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0023.mp3,"9,14"
24,24,RU,9781508236009,Russian 4,1,,,U01-03,03R_D,M,Вы можете купить билеты в офисе.,Vy mozhete kupit’ bilety v ofise.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0024.mp3,"9,14"
25,25,RU,9781508236009,Russian 4,1,,,U01-04,04Q_A,N,We’re looking for a taxi.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0025.mp3,"7,16,18"
26,26,RU,9781508236009,Russian 4,1,,,U01-04,04R_A,F,Мы ищем такси.,My ishchem taksi.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0026.mp3,"7,16,18"
27,27,RU,9781508236009,Russian 4,1,,,U01-04,04Q_B,N,We need to find out where the taxi is.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0027.mp3,"4,18"
28,28,RU,9781508236009,Russian 4,1,,,U01-04,04R_B,F,"Нам надо узнать, где такси.","Nam nado uznat’, gde taksi.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0028.mp3,"4,18"
29,29,RU,9781508236009,Russian 4,1,,,U01-04,04Q_C,N,We can’t find a taxi.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0029.mp3,"9,16,18"
30,30,RU,9781508236009,Russian 4,1,,,U01-04,04R_C,F,Мы не можем найти такси.,My ne mozhem najti taksi.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0030.mp3,"9,16,18"
31,31,RU,9781508236009,Russian 4,1,,,U01-04,04Q_D,N,We’re looking at a taxi.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0031.mp3,"9,18"
32,32,RU,9781508236009,Russian 4,1,,,U01-04,04R_D,M,Мы смотрим на такси.,My smotrim na taksi.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0032.mp3,"9,18"
33,33,RU,9781508236009,Russian 4,1,,,U01-05,05Q_A,N,Don’t forget to say hi to the family from me.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0033.mp3,"5,7,13"
34,34,RU,9781508236009,Russian 4,1,,,U01-05,05R_A,M,Не забудьте передать семье привет от меня.,Ne zabud’te peredat’ sem’e privet ot menia.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0034.mp3,"5,7,13"
35,35,RU,9781508236009,Russian 4,1,,,U01-05,05Q_B,N,Say hi to the family.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0035.mp3,"5,7,13"
36,36,RU,9781508236009,Russian 4,1,,,U01-05,05R_B,M,Передайте семье привет.,Peredajte sem’e privet.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0036.mp3,"5,7,13"
37,37,RU,9781508236009,Russian 4,1,,,U01-05,05Q_C,N,Don't forget to pass on the letter to them from me.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0037.mp3,"3,7"
38,38,RU,9781508236009,Russian 4,1,,,U01-05,05R_C,F,Не забудьте передать им письмо от меня.,Ne zabud’te peredat’ im pis’mo ot menia.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0038.mp3,"3,7"
39,39,RU,9781508236009,Russian 4,1,,,U01-05,05Q_D,N,Don’t forget when the family will arrive.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0039.mp3,"5,18"
40,40,RU,9781508236009,Russian 4,1,,,U01-05,05R_D,F,"Не забудьте, когда приедет семья.","Ne zabud’te, kogda priedet sem’ia.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0040.mp3,"5,18"
41,41,RU,9781508236009,Russian 4,1,,,U01-06,06Q_A,N,"We have a lot of baggage, it’s not easy.",,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0041.mp3,"9,18"
42,42,RU,9781508236009,Russian 4,1,,,U01-06,06R_A,M,"У нас много багажа, это нелегко.","U nas mnogo bagazha, èto nelegko.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0042.mp3,"9,18"
43,43,RU,9781508236009,Russian 4,1,,,U01-06,06Q_B,N,"We have a lot of gasoline, it’s not expensive.",,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0043.mp3,"9,11,14,18"
44,44,RU,9781508236009,Russian 4,1,,,U01-06,06R_B,M,"У нас много бензина, это недорого.","U nas mnogo benzina, èto nedorogo.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0044.mp3,"9,11,14,18"
45,45,RU,9781508236009,Russian 4,1,,,U01-06,06Q_C,N,"We have little baggage, but it’s not easy.",,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0045.mp3,"9,18"
46,46,RU,9781508236009,Russian 4,1,,,U01-06,06R_C,M,"У нас немного багажа, но это нелегко.","U nas nemnogo bagazha, no èto nelegko.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0046.mp3,"9,18"
47,47,RU,9781508236009,Russian 4,1,,,U01-06,06Q_D,N,"We have more baggage, than you have.",,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0047.mp3,"9,18"
48,48,RU,9781508236009,Russian 4,1,,,U01-06,06R_D,F,"У нас больше багажа, чем у Вас.","U nas bol’she bagazha, chem u Vas.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0048.mp3,"9,18"
49,49,RU,9781508236009,Russian 4,1,,,U01-07,07Q_A,N,Gladly.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0049.mp3,"7,13,16"
50,50,RU,9781508236009,Russian 4,1,,,U01-07,07R_A,F,С радостью.,S radost’iu.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0050.mp3,"7,13,16"
51,51,RU,9781508236009,Russian 4,1,,,U01-07,07Q_B,N,With friends.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0051.mp3,"5,7,9,16"
52,52,RU,9781508236009,Russian 4,1,,,U01-07,07R_B,M,С друзьями.,S druz’iami.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0052.mp3,"5,7,9,16"
53,53,RU,9781508236009,Russian 4,1,,,U01-07,07Q_C,N,With pleasure.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0053.mp3,"7,13,16"
54,54,RU,9781508236009,Russian 4,1,,,U01-07,07R_C,M,С удовольствием.,S udovol’stviem.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0054.mp3,"7,13,16"
55,55,RU,9781508236009,Russian 4,1,,,U01-07,07Q_D,N,With milk.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0055.mp3,"6,9"
56,56,RU,9781508236009,Russian 4,1,,,U01-07,07R_D,F,С молоком.,S molokom.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0056.mp3,"6,9"
57,57,RU,9781508236009,Russian 4,1,,,U01-08,08Q_A,N,The express runs every thirty minutes.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0057.mp3,"9,12,17"
58,58,RU,9781508236009,Russian 4,1,,,U01-08,08R_A,F,Экспресс ходит каждые тридцать минут.,Èkspress hodit kazhdye tridtsat’ minut.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0058.mp3,"9,12,17"
59,59,RU,9781508236009,Russian 4,1,,,U01-08,08Q_B,N,The train runs every thirty minutes.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0059.mp3,"9,12,17,18"
60,60,RU,9781508236009,Russian 4,1,,,U01-08,08R_B,F,Поезд ходит каждые тридцать минут,Poezd hodit kazhdye tridtsat’ minut.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0060.mp3,"9,12,17,18"
61,61,RU,9781508236009,Russian 4,1,,,U01-08,08Q_C,N,The express runs every thirteen minutes.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0061.mp3,"9,12,17"
62,62,RU,9781508236009,Russian 4,1,,,U01-08,08R_C,M,Экспресс ходит каждые тринадцать минут.,Èkspress hodit kazhdye trinadtsat’ minut.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0062.mp3,"9,12,17"
63,63,RU,9781508236009,Russian 4,1,,,U01-08,08Q_D,N,By the Express is faster than by car.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0063.mp3,"9,18"
64,64,RU,9781508236009,Russian 4,1,,,U01-08,08R_D,M,"На Экспрессе быстрее, чем на машине.","Na Èkspresse bystree, chem na mashine.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0064.mp3,"9,18"
65,65,RU,9781508236009,Russian 4,2,,,U02-01,01Q_A,N,"Today is Victory Day, a holiday.",,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0065.mp3,"9,17"
66,66,RU,9781508236009,Russian 4,2,,,U02-01,01R_A,M,"Сегодня День Победы, праздник.","Segodnia Den’ Pobedy, prazdnik.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0066.mp3,"9,17"
67,67,RU,9781508236009,Russian 4,2,,,U02-01,01Q_B,N,"Today is Victory Day, remember.",,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0067.mp3,"9,17"
68,68,RU,9781508236009,Russian 4,2,,,U02-01,01R_B,F,"Сегодня День Победы, помните.","Segodnia Den’ Pobedy, pomnite.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0068.mp3,"9,17"
69,69,RU,9781508236009,Russian 4,2,,,U02-01,01Q_C,N,"Today is Victory Day, that’s right.",,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0069.mp3,"9,17"
70,70,RU,9781508236009,Russian 4,2,,,U02-01,01R_C,F,"Сегодня День Победы, правда.","Segodnia Den’ Pobedy, pravda.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0070.mp3,"9,17"
71,71,RU,9781508236009,Russian 4,2,,,U02-01,01Q_D,N,"Today is Victory Day, let’s go.",,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0071.mp3,"1,9"
72,72,RU,9781508236009,Russian 4,2,,,U02-01,01R_D,M,"Сегодня День Победы, пойдем.","Segodnia Den’ Pobedy, pojdiom.",,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0072.mp3,"1,9"
73,73,RU,9781508236009,Russian 4,2,,,U02-02,02Q_A,N,It’s a good tradition.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0073.mp3,"7,9"
74,74,RU,9781508236009,Russian 4,2,,,U02-02,02R_A,M,Это хорошая традиция.,Èto horoshaia tradiciia.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0074.mp3,"7,9"
75,75,RU,9781508236009,Russian 4,2,,,U02-02,02Q_B,N,It’s cold weather.,,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0075.mp3,"7,9,19"
76,76,RU,9781508236009,Russian 4,2,,,U02-02,02R_B,M,Это холодная погода.,Èto holodnaia pogoda.,,S,Russian Level 4 MP3,9781508236030_Russian_Level_4_QM_0076.mp3,"7,9,19"
