Rec #,Lang,ISBN-13,Course,Unit Num,start,stop,QZ #,line #,spkr,Cue,#of words,Q or S,Course Name (Source),Skills,
1,SP,9781508243274,Spanish 1,1,0:02:46,0:02:48,01Q,37,N,"Excuse me, miss.",,,"Spanish Phase 1, Units 1-30 (2003)","10,13,16",
2,SP,9781508243274,Spanish 1,1,0:02:51,0:02:53,01R,38,M,"Perdón, señorita.",2,S,"Spanish Phase 1, Units 1-30 (2003)","10,13,16",
3,SP,9781508243274,Spanish 1,1,0:04:40,0:04:42,02Q,56,N,Do you understand English?,,,"Spanish Phase 1, Units 1-30 (2003)","10,15",
4,SP,9781508243274,Spanish 1,1,0:04:45,0:04:47,02R,57,M,¿Entiende inglés?,2,Q,"Spanish Phase 1, Units 1-30 (2003)","10,15",
5,SP,9781508243274,Spanish 1,1,0:06:34,0:06:35,03Q,74,N,"No, sir.",,,"Spanish Phase 1, Units 1-30 (2003)","7,16",
6,SP,9781508243274,Spanish 1,1,0:06:38,0:06:40,03R,75,F,"No, señor.",2,S,"Spanish Phase 1, Units 1-30 (2003)","7,16",
7,SP,9781508243274,Spanish 1,1,0:08:18,0:08:19,04Q,93,N,I understand.,,,"Spanish Phase 1, Units 1-30 (2003)","10,15",
8,SP,9781508243274,Spanish 1,1,0:08:21,0:08:23,04R,94,F,Entiendo.,1,S,"Spanish Phase 1, Units 1-30 (2003)","10,15",
9,SP,9781508243274,Spanish 1,1,0:09:24,0:09:25,05Q,104,N,You understand.,,,"Spanish Phase 1, Units 1-30 (2003)",15,
10,SP,9781508243274,Spanish 1,1,0:09:27,0:09:29,05R,105,M,Entiende.,1,S,"Spanish Phase 1, Units 1-30 (2003)",15,
11,SP,9781508243274,Spanish 1,1,0:11:48,0:11:50,06Q,132,N,Do you understand Spanish?,,,"Spanish Phase 1, Units 1-30 (2003)","10,15",
12,SP,9781508243274,Spanish 1,1,0:11:53,0:11:55,06R,133,F,¿Entiende español?,2,Q,"Spanish Phase 1, Units 1-30 (2003)","10,15",
13,SP,9781508243274,Spanish 1,1,0:13:31,0:13:34,07Q,150,N,I don’t speak Spanish.,,,"Spanish Phase 1, Units 1-30 (2003)","10,15,16",
14,SP,9781508243274,Spanish 1,1,0:13:37,0:13:40,07R,151,M,No hablo español.,3,S,"Spanish Phase 1, Units 1-30 (2003)","10,15,16",
15,SP,9781508243274,Spanish 1,1,0:17:59,0:18:01,08Q,198,N,I understand a little.,,,"Spanish Phase 1, Units 1-30 (2003)","10,15",
16,SP,9781508243274,Spanish 1,1,0:18:04,0:18:06,08R,199,M,Entiendo un poco.,3,S,"Spanish Phase 1, Units 1-30 (2003)","10,15",
17,SP,9781508243274,Spanish 1,1,0:20:19,0:20:22,09Q,225,N,"No, I don't speak English.",,,"Spanish Phase 1, Units 1-30 (2003)","10,15,16",
18,SP,9781508243274,Spanish 1,1,0:20:25,0:20:28,09R,226,F,"No, no hablo inglés.",4,S,"Spanish Phase 1, Units 1-30 (2003)","10,15,16",
19,SP,9781508243274,Spanish 1,1,0:25:20,0:25:22,10Q,277,N,Do you speak Spanish?,,,"Spanish Phase 1, Units 1-30 (2003)","10,15",
20,SP,9781508243274,Spanish 1,1,0:25:24,0:25:26,10R,278,F,¿Habla español?,2,Q,"Spanish Phase 1, Units 1-30 (2003)","10,15",
