Control #,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,QZ #,Speaker,Cue,Transliteration,#of words,Q or S,Course Name (Source),Snippet Name,Skills
1,1,JP,9781508243311,Japanese 1,1,01Q,N,Excuse me.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0001.mp3,"10,13,16"
2,2,JP,9781508243311,Japanese 1,1,01R,M,すみません。,sumimasen.,1,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0002.mp3,"10,13,16"
3,3,JP,9781508243311,Japanese 1,1,02Q,N,I don't understand,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0003.mp3,"15,16"
4,4,JP,9781508243311,Japanese 1,1,02R,M,わかりません。,wakarimasen.,1,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0004.mp3,"15,16"
5,5,JP,9781508243311,Japanese 1,1,03Q,N,You are American.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0005.mp3,"10,16"
6,6,JP,9781508243311,Japanese 1,1,03R,M,あなたはアメリカ人です。,anata wa amerikajin desu.,4,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0006.mp3,"10,16"
7,7,JP,9781508243311,Japanese 1,1,04Q,N,I understand.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0007.mp3,"10,15"
8,8,JP,9781508243311,Japanese 1,1,04R,M,わかります。,wakarimasu.,1,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0008.mp3,"10,15"
9,9,JP,9781508243311,Japanese 1,1,05Q,N,Do you understand English?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0009.mp3,"10,15"
10,10,JP,9781508243311,Japanese 1,1,05R,M,英語がわかりますか。,eigo ga wakarimasu ka.,4,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0010.mp3,"10,15"
11,11,JP,9781508243311,Japanese 1,1,06Q,N,I understand Japanese a little.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0011.mp3,"10,15"
12,12,JP,9781508243311,Japanese 1,1,06R,F,日本語が少しわかります。,nihongo ga sukoshi wakarimasu.,1,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0012.mp3,"10,15"
13,13,JP,9781508243311,Japanese 1,1,07Q,N,I don't understand English.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0013.mp3,"15,16"
14,14,JP,9781508243311,Japanese 1,1,07R,F,英語がわかりません。,eigo ga wakarimasen.,3,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0014.mp3,"15,16"
15,15,JP,9781508243311,Japanese 1,1,08Q,N,I understand Japanese.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0015.mp3,"10,15"
16,16,JP,9781508243311,Japanese 1,1,08R,F,日本語がわかります。,nihongo ga wakarimasu.,3,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0016.mp3,"10,15"
17,17,JP,9781508243311,Japanese 1,1,09Q,N,I don't understand Japanese.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0017.mp3,"15,16"
18,18,JP,9781508243311,Japanese 1,1,09R,F,日本語がわかりません。,nihongo ga wakarimasen.,3,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0018.mp3,"15,16"
19,19,JP,9781508243311,Japanese 1,1,10Q,N,Do you understand Japanese?,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0019.mp3,"10,15"
20,20,JP,9781508243311,Japanese 1,1,10R,F,日本語がわかりますか。,nihongo ga wakarimasu ka.,4,Q,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0020.mp3,"10,15"
21,21,JP,9781508243311,Japanese 1,1,11Q,N,I understand a little.,,,,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0021.mp3,"10,15"
22,22,JP,9781508243311,Japanese 1,1,11R,M,すこしわかります。,sukoshi wakarimasu.,2,S,Pimsleur Japanese Level 1 MP3,9781508222033_Japanese_1_QZ_0022.mp3,"10,15"
