Control #,Rec #,Lang,Source Audio ISBN_13,Course,Unit Num,start,stop,_Start,_Stop,QZ #,line #,Speaker,Cue,Transliteration,#of words,_Q_or_S,Course Name _Source_,Snippet Name,Skills
1,1,MA,9781508243328,Mandarin 1,1,,,,,01Q,,N,Excuse me.,,,,Pimsleur Chinese (Mandarin) Level 1 MP3,9781442394872_Mandarin_Chinese_1_QZ_001.mp3,"7,10,13,16"
2,2,MA,9781508243328,Mandarin 1,1,,,,,01R,,M,对不起。,duì bù qĭ.,3,S,Pimsleur Chinese (Mandarin) Level 1 MP3,9781442394872_Mandarin_Chinese_1_QZ_002.mp3,"7,10,13,16"
3,3,MA,9781508243328,Mandarin 1,1,,,,,02Q,,N,I can speak Mandarin.,,,,Pimsleur Chinese (Mandarin) Level 1 MP3,9781442394872_Mandarin_Chinese_1_QZ_003.mp3,"10,15,16"
4,4,MA,9781508243328,Mandarin 1,1,,,,,02R,,M,我会说普通话。,wŏ huì shuō pŭ tōng huà.,6,S,Pimsleur Chinese (Mandarin) Level 1 MP3,9781442394872_Mandarin_Chinese_1_QZ_004.mp3,"10,15,16"
5,5,MA,9781508243328,Mandarin 1,1,,,,,03Q,,N,You can speak English.,,,,Pimsleur Chinese (Mandarin) Level 1 MP3,9781442394872_Mandarin_Chinese_1_QZ_005.mp3,"10,15"
6,6,MA,9781508243328,Mandarin 1,1,,,,,03R,,M,你会说英文。,nǐ huì shuō yīng wén.,5,S,Pimsleur Chinese (Mandarin) Level 1 MP3,9781442394872_Mandarin_Chinese_1_QZ_006.mp3,"10,15"
7,7,MA,9781508243328,Mandarin 1,1,,,,,04Q,,N,Can you speak English?,,,,Pimsleur Chinese (Mandarin) Level 1 MP3,9781442394872_Mandarin_Chinese_1_QZ_007.mp3,"10,15,16"
8,8,MA,9781508243328,Mandarin 1,1,,,,,04R,,M,你会说英文吗？,nǐ huì shuō yīng wén ma?,6,Q,Pimsleur Chinese (Mandarin) Level 1 MP3,9781442394872_Mandarin_Chinese_1_QZ_008.mp3,"10,15,16"
9,9,MA,9781508243328,Mandarin 1,1,,,,,05Q,,N,Can you speak Mandarin?,,,,Pimsleur Chinese (Mandarin) Level 1 MP3,9781442394872_Mandarin_Chinese_1_QZ_009.mp3,"10,15,16"
10,10,MA,9781508243328,Mandarin 1,1,,,,,05R,,M,你会说普通话吗？,nǐ huì shuō pǔ tōng huà ma?,7,S,Pimsleur Chinese (Mandarin) Level 1 MP3,9781442394872_Mandarin_Chinese_1_QZ_010.mp3,"10,15,16"
11,11,MA,9781508243328,Mandarin 1,1,,,,,06Q,,N,I am American.,,,,Pimsleur Chinese (Mandarin) Level 1 MP3,9781442394872_Mandarin_Chinese_1_QZ_011.mp3,"9,16"
12,12,MA,9781508243328,Mandarin 1,1,,,,,06R,,M,我是美国人。,wǒ shì měi guó rén.,5,S,Pimsleur Chinese (Mandarin) Level 1 MP3,9781442394872_Mandarin_Chinese_1_QZ_012.mp3,"9,16"
13,13,MA,9781508243328,Mandarin 1,1,,,,,07Q,,N,I can speak a little.,,,,Pimsleur Chinese (Mandarin) Level 1 MP3,9781442394872_Mandarin_Chinese_1_QZ_013.mp3,"10,15"
14,14,MA,9781508243328,Mandarin 1,1,,,,,07R,,F,我会说一点儿。,wǒ huì shuō yì diǎnr.,5,S,Pimsleur Chinese (Mandarin) Level 1 MP3,9781442394872_Mandarin_Chinese_1_QZ_014.mp3,"10,15"
15,15,MA,9781508243328,Mandarin 1,1,,,,,08Q,,N,Are you American?,,,,Pimsleur Chinese (Mandarin) Level 1 MP3,9781442394872_Mandarin_Chinese_1_QZ_015.mp3,7
16,16,MA,9781508243328,Mandarin 1,1,,,,,08R,,F,你是美国人吗？,nǐ shi měi guó rén ma?,6,Q,Pimsleur Chinese (Mandarin) Level 1 MP3,9781442394872_Mandarin_Chinese_1_QZ_016.mp3,7
17,17,MA,9781508243328,Mandarin 1,1,,,,,09Q,,N,I can't speak English.,,,,Pimsleur Chinese (Mandarin) Level 1 MP3,9781442394872_Mandarin_Chinese_1_QZ_017.mp3,"10,15"
18,18,MA,9781508243328,Mandarin 1,1,,,,,09R,,F,我不会说英文。,wǒ bú huì shuō yīng wén.,6,S,Pimsleur Chinese (Mandarin) Level 1 MP3,9781442394872_Mandarin_Chinese_1_QZ_018.mp3,"10,15"
19,19,MA,9781508243328,Mandarin 1,1,,,,,10Q,,N,I can speak a little English.,,,,Pimsleur Chinese (Mandarin) Level 1 MP3,9781442394872_Mandarin_Chinese_1_QZ_019.mp3,"10,15"
20,20,MA,9781508243328,Mandarin 1,1,,,,,10R,,F,我会说一点儿英文。,wǒ huì shuō yi diǎnr yīng wén.,7,S,Pimsleur Chinese (Mandarin) Level 1 MP3,9781442394872_Mandarin_Chinese_1_QZ_020.mp3,"10,15"
21,21,MA,9781508243328,Mandarin 1,1,,,,,11Q,,N,I can speak a little Mandarin.,,,,Pimsleur Chinese (Mandarin) Level 1 MP3,9781442394872_Mandarin_Chinese_1_QZ_021.mp3,"10,15,16"
22,22,MA,9781508243328,Mandarin 1,1,,,,,11R,,M,我会说一点儿普通话。,wǒ huì shuō yì diǎnr pǔ tōng huà.,8,S,Pimsleur Chinese (Mandarin) Level 1 MP3,9781442394872_Mandarin_Chinese_1_QZ_022.mp3,"10,15,16"
