Control#,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,Start,Stop,QZ #,line #,Speaker,Cue,#of words,Q or S,Course Name (Source),Snippet Name,Skills
1,1,BP,9781508243342,BrazPort 1,1,,,01Q,,N,Do you understand English?,,,"Port (Braz) 1, Units 1 - 30 (2014)",9781442374980_Brazilian_Portuguese_1_QZ_001.mp3,"10,15"
2,2,BP,9781508243342,BrazPort 1,1,,,01R,,M,A senhora entende inglês?,3,Q,"Port (Braz) 1, Units 1 - 30 (2014)",9781442374980_Brazilian_Portuguese_1_QZ_002.mp3,"10,15"
3,3,BP,9781508243342,BrazPort 1,1,,,02Q,,N,"Excuse me, sir.",,,"Port (Braz) 1, Units 1 - 30 (2014)",9781442374980_Brazilian_Portuguese_1_QZ_003.mp3,"10,13,16"
4,4,BP,9781508243342,BrazPort 1,1,,,02R,,F,"Com licença, senhor.",3,S,"Port (Braz) 1, Units 1 - 30 (2014)",9781442374980_Brazilian_Portuguese_1_QZ_004.mp3,"10,13,16"
5,5,BP,9781508243342,BrazPort 1,1,,,03Q,,N,I speak a little Portuguese.,,,"Port (Braz) 1, Units 1 - 30 (2014)",9781442374980_Brazilian_Portuguese_1_QZ_005.mp3,"10,15"
6,6,BP,9781508243342,BrazPort 1,1,,,03R,,M,Eu falo um pouco de português.,5,S,"Port (Braz) 1, Units 1 - 30 (2014)",9781442374980_Brazilian_Portuguese_1_QZ_006.mp3,"10,15"
7,7,BP,9781508243342,BrazPort 1,1,,,04Q,,N,I am American.,,,"Port (Braz) 1, Units 1 - 30 (2014)",9781442374980_Brazilian_Portuguese_1_QZ_007.mp3,"9,10,16"
8,8,BP,9781508243342,BrazPort 1,1,,,04R,,M,Eu sou americano.,3,S,"Port (Braz) 1, Units 1 - 30 (2014)",9781442374980_Brazilian_Portuguese_1_QZ_008.mp3,"9,10,16"
9,9,BP,9781508243342,BrazPort 1,1,,,05Q,,N,Are you American?,,,"Port (Braz) 1, Units 1 - 30 (2014)",9781442374980_Brazilian_Portuguese_1_QZ_009.mp3,"9,10,16"
10,10,BP,9781508243342,BrazPort 1,1,,,05R,,F,O senhor è americano?,3,Q,"Port (Braz) 1, Units 1 - 30 (2014)",9781442374980_Brazilian_Portuguese_1_QZ_010.mp3,"9,10,16"
11,11,BP,9781508243342,BrazPort 1,1,,,06Q,,N,Do you speak Portuguese?,,,"Port (Braz) 1, Units 1 - 30 (2014)",9781442374980_Brazilian_Portuguese_1_QZ_011.mp3,"10,15"
12,12,BP,9781508243342,BrazPort 1,1,,,06R,,F,O senhor fala português?,3,Q,"Port (Braz) 1, Units 1 - 30 (2014)",9781442374980_Brazilian_Portuguese_1_QZ_012.mp3,"10,15"
13,13,BP,9781508243342,BrazPort 1,1,,,07Q,,N,Do you speak English?,,,"Port (Braz) 1, Units 1 - 30 (2014)",9781442374980_Brazilian_Portuguese_1_QZ_013.mp3,"10,15"
14,14,BP,9781508243342,BrazPort 1,1,,,07R,,M,A senhora fala inglês?,3,Q,"Port (Braz) 1, Units 1 - 30 (2014)",9781442374980_Brazilian_Portuguese_1_QZ_014.mp3,"10,15"
15,15,BP,9781508243342,BrazPort 1,1,,,08Q,,N,I understand a little Portuguese.,,,"Port (Braz) 1, Units 1 - 30 (2014)",9781442374980_Brazilian_Portuguese_1_QZ_015.mp3,"10,15"
16,16,BP,9781508243342,BrazPort 1,1,,,08R,,M,Eu entendo um pouco de português.,5,S,"Port (Braz) 1, Units 1 - 30 (2014)",9781442374980_Brazilian_Portuguese_1_QZ_016.mp3,"10,15"
17,17,BP,9781508243342,BrazPort 1,1,,,09Q,,N,I don’t understand English.,,,"Port (Braz) 1, Units 1 - 30 (2014)",9781442374980_Brazilian_Portuguese_1_QZ_017.mp3,"10,15"
18,18,BP,9781508243342,BrazPort 1,1,,,09R,,F,Eu não entendo inglês.,4,S,"Port (Braz) 1, Units 1 - 30 (2014)",9781442374980_Brazilian_Portuguese_1_QZ_018.mp3,"10,15"
19,19,BP,9781508243342,BrazPort 1,1,,,10Q,,N,Do you understand a little?,,,"Port (Braz) 1, Units 1 - 30 (2014)",9781442374980_Brazilian_Portuguese_1_QZ_019.mp3,"10,15"
20,20,BP,9781508243342,BrazPort 1,1,,,10R,,M,A senhora entende um pouco?,4,Q,"Port (Braz) 1, Units 1 - 30 (2014)",9781442374980_Brazilian_Portuguese_1_QZ_020.mp3,"10,15"
