Control #,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,QZ #,Speaker,Cue,#of words,Q or S,Course Name (Source),Snippet Name,Skills
1,1,ESL_SP,9781442328686,,1,01Q,N,Con permiso.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_001.mp3,"13,15,16"
2,2,ESL_SP,9781442328686,,1,01R,M,Excuse me.,2,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_002.mp3,"13,15,16"
3,3,ESL_SP,9781442328686,,1,02Q,N,Usted entiende.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_003.mp3,"15,16"
4,4,ESL_SP,9781442328686,,1,02R,M,You understand.,2,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_004.mp3,"15,16"
5,5,ESL_SP,9781442328686,,1,03Q,N,¿Entiende usted español?,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_005.mp3,"10,15,16"
6,6,ESL_SP,9781442328686,,1,03R,M,Do you understand Spanish?,4,Q,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_006.mp3,"10,15,16"
7,7,ESL_SP,9781442328686,,1,04Q,N,Yo entiendo un poco de inglés.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_007.mp3,"15,16"
8,8,ESL_SP,9781442328686,,1,04R,M,I understand a little English.,5,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_008.mp3,"15,16"
9,9,ESL_SP,9781442328686,,1,05Q,N,Usted es mexicano.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_009.mp3,"7,10"
10,10,ESL_SP,9781442328686,,1,05R,F,You are Mexican.,3,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_010.mp3,"7,10"
11,11,ESL_SP,9781442328686,,1,06Q,N,Yo entiendo.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_011.mp3,"15,16"
12,12,ESL_SP,9781442328686,,1,06R,M,I understand.,2,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_012.mp3,"15,16"
13,13,ESL_SP,9781442328686,,1,07Q,N,Yo no entiendo español.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_013.mp3,"10,15,16"
14,14,ESL_SP,9781442328686,,1,07R,F,I don't understand Spanish.,4,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_014.mp3,"10,15,16"
15,15,ESL_SP,9781442328686,,1,08Q,N,Usted entiende inglés.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_015.mp3,"10,15,16"
16,16,ESL_SP,9781442328686,,1,08R,M,You understand English.,3,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_016.mp3,"10,15,16"
17,17,ESL_SP,9781442328686,,1,09Q,N,Yo entiendo un poco.,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_017.mp3,"10,15,16"
18,18,ESL_SP,9781442328686,,1,09R,M,I understand a little.,4,S,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_018.mp3,"10,15,16"
19,19,ESL_SP,9781442328686,,1,10Q,N,¿Es usted mexicano?,,,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_019.mp3,"7,10"
20,20,ESL_SP,9781442328686,,1,10R,F,Are you Mexican?,3,Q,English for Spanish Speakers Level 1,9781508235927_ESL_Spanish_1_QZ_020.mp3,"7,10"
