Control #,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,start,stop,Cluster,Quiz #,Spkr,Cue,Transliteration,#of words,Q or S,Course Name (Source),Snippet Name,Skills
1,1,RU,9.78151E+12,Russian 5,1,,,U01-01,01Q_A,N,For me thereÕs no big difference.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0001.mp3,7
2,2,RU,9.78151E+12,Russian 5,1,,,U01-01,01R_A,F,___ ____ ___ _______ _______.,Dlia menia net bolÕshoj raznitsy.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0002.mp3,7
3,3,RU,9.78151E+12,Russian 5,1,,,U01-01,01Q_B,N,For me itÕs not a big problem.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0003.mp3,7
4,4,RU,9.78151E+12,Russian 5,1,,,U01-01,01R_B,F,___ ____ ___ __ _______ ________.,Dlia menia to ne bolÕshaia problema.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0004.mp3,7
5,5,RU,9.78151E+12,Russian 5,1,,,U01-01,01Q_C,N,For me itÕs a big difference.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0005.mp3,7
6,6,RU,9.78151E+12,Russian 5,1,,,U01-01,01R_C,F,___ ____ ___ _______ _______.,Dlia menia to bolÕshaia raznitsa.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0006.mp3,7
7,7,RU,9.78151E+12,Russian 5,1,,,U01-01,01Q_D,N,For me itÕs not interesting.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0007.mp3,7
8,8,RU,9.78151E+12,Russian 5,1,,,U01-01,01R_D,F,___ ____ ___ __ _________.,Dlia menia to ne interesno.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0008.mp3,7
9,9,RU,9.78151E+12,Russian 5,1,,,U01-02,02Q_A,N,I will be very grateful. (m),,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0009.mp3,"7,13"
10,10,RU,9.78151E+12,Russian 5,1,,,U01-02,02R_A,M,_ ____ _____ __________.,Ia budu ochenÕ blagodaren.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0010.mp3,"7,13"
11,11,RU,9.78151E+12,Russian 5,1,,,U01-02,02Q_B,N,IÕll be very grateful. (f),,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0011.mp3,"7,13"
12,12,RU,9.78151E+12,Russian 5,1,,,U01-02,02R_B,F,_ ____ _____ __________.,Ia budu ochenÕ blagodarna.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0012.mp3,"7,13"
13,13,RU,9.78151E+12,Russian 5,1,,,U01-02,02Q_C,N,IÕll be very surprised. (f),,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0013.mp3,7
14,14,RU,9.78151E+12,Russian 5,1,,,U01-02,02R_C,F,_ ____ _____ ________.,Ia budu ochenÕ udivlena.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0014.mp3,7
15,15,RU,9.78151E+12,Russian 5,1,,,U01-02,02Q_D,N,IÕll be very bored.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0015.mp3,7
16,16,RU,9.78151E+12,Russian 5,1,,,U01-02,02R_D,M,___ _____ _____ ______.,Mne budet ochenÕ skuchno.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0016.mp3,7
17,17,RU,9.78151E+12,Russian 5,1,,,U01-02,03Q_A,N,To stick to the routineÕs difficult.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0017.mp3,7
18,18,RU,9.78151E+12,Russian 5,1,,,U01-02,03R_A,F,_________ _____ Ð ______.,SobliudatÕ rezhim Ð trudno.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0018.mp3,7
19,19,RU,9.78151E+12,Russian 5,1,,,U01-02,03Q_B,N,To stick to the routineÕs healthy.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0019.mp3,8
20,20,RU,9.78151E+12,Russian 5,1,,,U01-02,03R_B,M,_________ _____ Ð _______.,SobliudatÕ rezhim Ð polezno.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0020.mp3,8
21,21,RU,9.78151E+12,Russian 5,1,,,U01-02,03Q_C,N,To stick to the routineÕs important.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0021.mp3,7
22,22,RU,9.78151E+12,Russian 5,1,,,U01-02,03R_C,M,_________ _____ Ð _____.,SobliudatÕ rezhim Ð vazhno.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0022.mp3,7
23,23,RU,9.78151E+12,Russian 5,1,,,U01-02,03Q_D,N,To stick to the routineÕs impossible.,,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0023.mp3,7
24,24,RU,9.78151E+12,Russian 5,1,,,U01-02,03R_D,M,_________ _____ Ð __________.,SobliudatÕ rezhim Ð nevozmozhno.,,S,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0024.mp3,7
25,25,RU,9.78151E+12,Russian 5,1,,,U01-03,04Q_A,N,Do you love to go for a run?,,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0025.mp3,1
26,26,RU,9.78151E+12,Russian 5,1,,,U01-03,04R_A,M,__ ______ ______ __ ________?,Vy liubite hoditÕ na probezhku?,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0026.mp3,1
27,27,RU,9.78151E+12,Russian 5,1,,,U01-03,04Q_B,N,Do you love to go on foot?,,,Q,Russian Level 5 MP3,9781508282600_Russian_Level_5_QM_0027.mp3,1
