Control #,Rec #,Lang,Source Audio ISBN_13,Course,Unit Num,start,stop,Cluster,QZ #,Speaker,Cue,#of words,Q or S,Course Name (Source),Snippet Name,Skills
1,1,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-01,01Q_A,N,She has a problem in her back.,,S,Portuguese (Brazilian) Level 5,,8
2,2,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-01,01R_A,M,Ela está com um problema nas costas.,,S,Portuguese (Brazilian) Level 5,,8
3,3,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-01,01Q_B,N,He has a problem in his back.,,S,Portuguese (Brazilian) Level 5,,8
4,4,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-01,01R_B,M,Ele está com um problema nas costas. ,,S,Portuguese (Brazilian) Level 5,,8
5,5,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-01,01Q_C,N,She has a problem in her arm.,,S,Portuguese (Brazilian) Level 5,,8
6,6,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-01,01R_C,M,Ela está com um problema no braço. ,,S,Portuguese (Brazilian) Level 5,,8
7,7,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-01,01Q_D,N,She has back pain.,,S,Portuguese (Brazilian) Level 5,,8
8,8,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-01,01R_D,M,Ela está com dor nas costas.,,S,Portuguese (Brazilian) Level 5,,8
9,9,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-02,02Q_A,N,Did she fall yesterday?,,Q,Portuguese (Brazilian) Level 5,,8
10,10,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-02,02R_A,F,Ela caiu ontem?,,Q,Portuguese (Brazilian) Level 5,,8
11,11,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-02,02Q_B,N,Did he go yesterday?,,Q,Portuguese (Brazilian) Level 5,,8
12,12,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-02,02R_B,F,Ele foi ontem?,,Q,Portuguese (Brazilian) Level 5,,8
13,13,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-02,02Q_C,N,Did she fall today?,,Q,Portuguese (Brazilian) Level 5,,8
14,14,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-02,02R_C,F,Ela caiu hoje?,,Q,Portuguese (Brazilian) Level 5,,8
15,15,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-02,02Q_D,N,Did she fall at her house?,,Q,Portuguese (Brazilian) Level 5,,8
16,16,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-02,02R_D,F,Ela caiu na sua casa?,,Q,Portuguese (Brazilian) Level 5,,8
17,17,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-03,03Q_A,N,Our friendship continued after the university.,,S,Portuguese (Brazilian) Level 5,,5
18,18,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-03,03R_A,M,Nossa amizade continuou depois da universidade.,,S,Portuguese (Brazilian) Level 5,,5
19,19,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-03,03Q_B,N,The friendship continued after the university.,,S,Portuguese (Brazilian) Level 5,,5
20,20,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-03,03R_B,M,A amizade continuou depois da universidade.,,S,Portuguese (Brazilian) Level 5,,5
21,21,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-03,03Q_C,N,Your friendship has not continued after the university.,,S,Portuguese (Brazilian) Level 5,,5
22,22,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-03,03R_C,M,Sua amizade não continuou depois da universidade.,,S,Portuguese (Brazilian) Level 5,,5
23,23,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-03,03Q_D,N,Our friendship has not continued after the university.,,S,Portuguese (Brazilian) Level 5,,5
24,24,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-03,03R_D,M,Nossa amizade não continuou depois da universidade.,,S,Portuguese (Brazilian) Level 5,,5
25,25,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-04,04Q_A,N,Neck pain is terrible.,,S,Portuguese (Brazilian) Level 5,,8
26,26,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-04,04R_A,M,Dor no pescoço é terrível.,,S,Portuguese (Brazilian) Level 5,,8
27,27,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-04,04Q_B,N,Back pain is terrible.,,S,Portuguese (Brazilian) Level 5,,8
28,28,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-04,04R_B,M,Dor nas costas é terrível.,,S,Portuguese (Brazilian) Level 5,,8
29,29,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-04,04Q_C,N,Neck pain is timid.,,S,Portuguese (Brazilian) Level 5,,8
30,30,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-04,04R_C,F,Dor no pescoço é tímido.,,S,Portuguese (Brazilian) Level 5,,8
31,31,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-04,04Q_D,N,Pain in the arm is terrible.,,S,Portuguese (Brazilian) Level 5,,8
32,32,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-04,04R_D,F,Dor no braço é terrível.,,S,Portuguese (Brazilian) Level 5,,8
33,33,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-05,05Q_A,N,It has been difficult for him.,,S,Portuguese (Brazilian) Level 5,,8
34,34,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-05,05R_A,F,Tem sido difícil para ele.,,S,Portuguese (Brazilian) Level 5,,8
35,35,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-05,05Q_B,N,It has been difficult for her.,,S,Portuguese (Brazilian) Level 5,,8
36,36,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-05,05R_B,F,Tem sido difícil para ela.,,S,Portuguese (Brazilian) Level 5,,8
37,37,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-05,05Q_C,N,It has been difficult to do.,,S,Portuguese (Brazilian) Level 5,,8
38,38,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-05,05R_C,F,Tem sido difícil para fazer.,,S,Portuguese (Brazilian) Level 5,,8
39,39,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-05,05Q_D,N,It has been difficult to drive.,,S,Portuguese (Brazilian) Level 5,,"8,18"
40,40,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-05,05R_D,M,Tem sido difícil para dirigir.,,S,Portuguese (Brazilian) Level 5,,"8,18"
41,41,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-06,06Q_A,N,She already had gone to the doctor.,,S,Portuguese (Brazilian) Level 5,,8
42,42,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-06,06R_A,M,Ela já tinha ido ao médico.,,S,Portuguese (Brazilian) Level 5,,8
43,43,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-06,06Q_B,N,He already had gone to the doctor.,,S,Portuguese (Brazilian) Level 5,,8
44,44,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-06,06R_B,M,Ele já tinha ido ao médico.,,S,Portuguese (Brazilian) Level 5,,8
45,45,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-06,06Q_C,N,She already had gone to the museum.,,S,Portuguese (Brazilian) Level 5,,1
46,46,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-06,06R_C,M,Ela já tinha ido ao museu.,,S,Portuguese (Brazilian) Level 5,,1
47,47,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-06,06Q_D,N,He already had gone to the museum.,,S,Portuguese (Brazilian) Level 5,,1
48,48,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-06,06R_D,M,Ele já tinha ido ao museu.,,S,Portuguese (Brazilian) Level 5,,1
49,49,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-07,07Q_A,N,I love when our group comes here.,,S,Portuguese (Brazilian) Level 5,,"1,5"
50,50,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-07,07R_A,F,Adoro quando nosso grupinho vem aqui.,,S,Portuguese (Brazilian) Level 5,,"1,5"
51,51,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-07,07Q_B,N,I love when our group goes there.,,S,Portuguese (Brazilian) Level 5,,"1,5"
52,52,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-07,07R_B,F,Adoro quando nosso grupinho vai lá. ,,S,Portuguese (Brazilian) Level 5,,"1,5"
53,53,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-07,07Q_C,N,I love our group of friends.,,S,Portuguese (Brazilian) Level 5,,"1,5"
54,54,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-07,07R_C,F,Adoro nosso grupinho de amigos. ,,S,Portuguese (Brazilian) Level 5,,"1,5"
55,55,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-07,07Q_D,N,I love when my group comes here.,,S,Portuguese (Brazilian) Level 5,,"1,5"
56,56,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-07,07R_D,F,Adoro quando meu grupinho vem aqui. ,,S,Portuguese (Brazilian) Level 5,,"1,5"
57,57,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-08,08Q_A,N,It’s more complicated than that.,,S,Portuguese (Brazilian) Level 5,,7
58,58,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-08,08R_A,F,É mais complicado que isso.,,S,Portuguese (Brazilian) Level 5,,7
59,59,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-08,08Q_B,N,It’s more conservative than that.,,S,Portuguese (Brazilian) Level 5,,7
60,60,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-08,08R_B,M,É mais conservador que isso.,,S,Portuguese (Brazilian) Level 5,,7
61,61,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-08,08Q_C,N,It’s more complicated than this.,,S,Portuguese (Brazilian) Level 5,,7
62,62,BP,9781508286752,Brazilian Portuguese 5,1,,,U01-08,08R_C,M,É mais complicado que isto.,,S,Portuguese (Brazilian) Level 5,,7
