Rec #,Lang,ISBN-13,Course,Unit Num,start,stop,QZ #,line #,spkr,Cue,#of words,Q or S,Course Name (Source),Snippet Name,SKills
1,FR-Core,9781508256892,French 2,1,N/A,N/A,01Q,N/A,N,How long are you going to stay?,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_001.mp3,18
2,FR-Core,9781508256892,French 2,1,N/A,N/A,01R,N/A,M,Combien de temps est-ce que vous allez rester?,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_002.mp3,18
3,FR-Core,9781508256892,French 2,1,N/A,N/A,02Q,N/A,N,It’s very practical.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_003.mp3,7
4,FR-Core,9781508256892,French 2,1,N/A,N/A,02R,N/A,M,C’est très pratique.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_004.mp3,7
5,FR-Core,9781508256892,French 2,1,N/A,N/A,03Q,N/A,N,She likes candy.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_005.mp3,6
6,FR-Core,9781508256892,French 2,1,N/A,N/A,03R,N/A,M,Elle aime les bonbons.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_006.mp3,6
7,FR-Core,9781508256892,French 2,1,N/A,N/A,04Q,N/A,N,Does your older daughter speak French?,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_007.mp3,"5,10"
8,FR-Core,9781508256892,French 2,1,N/A,N/A,04R,N/A,M,Est-ce que votre fille aînée parle français?,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_008.mp3,"5,10"
9,FR-Core,9781508256892,French 2,1,N/A,N/A,05Q,N/A,N,I bought some candy.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_009.mp3,14
10,FR-Core,9781508256892,French 2,1,N/A,N/A,05R,N/A,M,J’ai acheté des bonbons.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_010.mp3,14
11,FR-Core,9781508256892,French 2,1,N/A,N/A,06Q,N/A,N,I didn’t do anything today.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_011.mp3,1
12,FR-Core,9781508256892,French 2,1,N/A,N/A,06R,N/A,M,Je n’ai rien fait aujourd’hui.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_012.mp3,1
13,FR-Core,9781508256892,French 2,1,N/A,N/A,07Q,N/A,N,I did a lot of things yesterday.,N/A,N/A,Pimsleur French Level 2 Core Update MP3,9781508295174_French_Level_2_QM_013.mp3,17
