Rec #,Lang,Course     ,Lesson,Cluster,Qz #,Spkr,Cue                                              ,Transliteration,MP3 Snippet File Name                     ,MP3 Audio ISBN,Premium ISBN ,Skills
1    ,NO  ,Norwegian 2,1     ,       ,01Q ,N   ,What does that word mean?                        ,               ,9781508296799_Norwegian_Level_2_QM_001.mp3,9781508231295 ,9781508296799,"7,16"
2    ,NO  ,Norwegian 2,1     ,       ,01R ,F   ,Hva betyr det ordet?                             ,               ,9781508296799_Norwegian_Level_2_QM_002.mp3,9781508231295 ,9781508296799,"7,16"
3    ,NO  ,Norwegian 2,1     ,       ,02Q ,N   ,Did you go sightseeing in the city?              ,               ,9781508296799_Norwegian_Level_2_QM_003.mp3,9781508231295 ,9781508296799,"1,18"
4    ,NO  ,Norwegian 2,1     ,       ,02R ,F   ,Dro du p� sightseeing i byen?                    ,               ,9781508296799_Norwegian_Level_2_QM_004.mp3,9781508231295 ,9781508296799,"1,18"
5    ,NO  ,Norwegian 2,1     ,       ,03Q ,N   ,What did you do today forenoon?                  ,               ,9781508296799_Norwegian_Level_2_QM_005.mp3,9781508231295 ,9781508296799,"1,17"
6    ,NO  ,Norwegian 2,1     ,       ,03R ,F   ,Hva gjorde du i dag formiddag?                   ,               ,9781508296799_Norwegian_Level_2_QM_006.mp3,9781508231295 ,9781508296799,"1,17"
7    ,NO  ,Norwegian 2,1     ,       ,04Q ,N   ,Not yet.                                         ,               ,9781508296799_Norwegian_Level_2_QM_007.mp3,9781508231295 ,9781508296799,"7,9"
8    ,NO  ,Norwegian 2,1     ,       ,04R ,F   ,Ikke enda.                                       ,               ,9781508296799_Norwegian_Level_2_QM_008.mp3,9781508231295 ,9781508296799,"7,9"
9    ,NO  ,Norwegian 2,1     ,       ,05Q ,N   ,I bought this book this morning.                 ,               ,9781508296799_Norwegian_Level_2_QM_009.mp3,9781508231295 ,9781508296799,"14,17"
10   ,NO  ,Norwegian 2,1     ,       ,05R ,F   ,Jeg kj�pte denne boka i morges.                  ,               ,9781508296799_Norwegian_Level_2_QM_010.mp3,9781508231295 ,9781508296799,"14,17"
11   ,NO  ,Norwegian 2,1     ,       ,06Q ,N   ,Did you buy this book?                           ,               ,9781508296799_Norwegian_Level_2_QM_011.mp3,9781508231295 ,9781508296799,14
12   ,NO  ,Norwegian 2,1     ,       ,06R ,M   ,Kj�pte du denne boka?                            ,               ,9781508296799_Norwegian_Level_2_QM_012.mp3,9781508231295 ,9781508296799,14
13   ,NO  ,Norwegian 2,1     ,       ,07Q ,N   ,We spoke a lot of Norwegian.                     ,               ,9781508296799_Norwegian_Level_2_QM_013.mp3,9781508231295 ,9781508296799,15
14   ,NO  ,Norwegian 2,1     ,       ,07R ,M   ,Vi snakket mye norsk.                            ,               ,9781508296799_Norwegian_Level_2_QM_014.mp3,9781508231295 ,9781508296799,15
15   ,NO  ,Norwegian 2,1     ,       ,08Q ,N   ,When did you arrive in Oslo?                     ,               ,9781508296799_Norwegian_Level_2_QM_015.mp3,9781508231295 ,9781508296799,18
16   ,NO  ,Norwegian 2,1     ,       ,08R ,M   ,N�r kom du til Oslo?                             ,               ,9781508296799_Norwegian_Level_2_QM_016.mp3,9781508231295 ,9781508296799,18
17   ,NO  ,Norwegian 2,1     ,       ,09Q ,N   ,Do you want to go sightseeing tomorrow afternoon?,               ,9781508296799_Norwegian_Level_2_QM_017.mp3,9781508231295 ,9781508296799,"1,18"
18   ,NO  ,Norwegian 2,1     ,       ,09R ,M   ,Vil du dra p� sightseeing i morgen ettermiddag?  ,               ,9781508296799_Norwegian_Level_2_QM_018.mp3,9781508231295 ,9781508296799,"1,18"
19   ,NO  ,Norwegian 2,1     ,       ,10Q ,N   ,Do you want to drink a glass of beer with me?    ,               ,9781508296799_Norwegian_Level_2_QM_019.mp3,9781508231295 ,9781508296799,6
20   ,NO  ,Norwegian 2,1     ,       ,10R ,M   ,Vil du drikke et glass �l med meg?               ,               ,9781508296799_Norwegian_Level_2_QM_020.mp3,9781508231295 ,9781508296799,6
21   ,NO  ,Norwegian 2,2     ,       ,01Q ,N   ,Have you eaten?                                  ,               ,9781508296799_Norwegian_Level_2_QM_021.mp3,9781508231295 ,9781508296799,6
22   ,NO  ,Norwegian 2,2     ,       ,01R ,F   ,Har du spist?                                    ,               ,9781508296799_Norwegian_Level_2_QM_022.mp3,9781508231295 ,9781508296799,6
23   ,NO  ,Norwegian 2,2     ,       ,02Q ,N   ,What�s your name?                                ,               ,9781508296799_Norwegian_Level_2_QM_023.mp3,9781508231295 ,9781508296799,"10,13,16"
24   ,NO  ,Norwegian 2,2     ,       ,02R ,F   ,Hva heter du?                                    ,               ,9781508296799_Norwegian_Level_2_QM_024.mp3,9781508231295 ,9781508296799,"10,13,16"
25   ,NO  ,Norwegian 2,2     ,       ,03Q ,N   ,I haven�t eaten yet.                             ,               ,9781508296799_Norwegian_Level_2_QM_025.mp3,9781508231295 ,9781508296799,6
26   ,NO  ,Norwegian 2,2     ,       ,03R ,F   ,Jeg har ikke spist enda.                         ,               ,9781508296799_Norwegian_Level_2_QM_026.mp3,9781508231295 ,9781508296799,6
27   ,NO  ,Norwegian 2,2     ,       ,04Q ,N   ,I can�t stay longer.                             ,               ,9781508296799_Norwegian_Level_2_QM_027.mp3,9781508231295 ,9781508296799,18
28   ,NO  ,Norwegian 2,2     ,       ,04R ,F   ,Jeg kan ikke v�re lenger.                        ,               ,9781508296799_Norwegian_Level_2_QM_028.mp3,9781508231295 ,9781508296799,18
29   ,NO  ,Norwegian 2,2     ,       ,05Q ,N   ,I must unfortunately leave.                      ,               ,9781508296799_Norwegian_Level_2_QM_029.mp3,9781508231295 ,9781508296799,18
30   ,NO  ,Norwegian 2,2     ,       ,05R ,F   ,Jeg m� dessverre dra.                            ,               ,9781508296799_Norwegian_Level_2_QM_030.mp3,9781508231295 ,9781508296799,18
31   ,NO  ,Norwegian 2,2     ,       ,06Q ,N   ,Do you really have to leave?                     ,               ,9781508296799_Norwegian_Level_2_QM_031.mp3,9781508231295 ,9781508296799,18
32   ,NO  ,Norwegian 2,2     ,       ,06R ,M   ,M� du virkelig dra?                              ,               ,9781508296799_Norwegian_Level_2_QM_032.mp3,9781508231295 ,9781508296799,18
33   ,NO  ,Norwegian 2,2     ,       ,07Q ,N   ,He is Norwegian.                                 ,               ,9781508296799_Norwegian_Level_2_QM_033.mp3,9781508231295 ,9781508296799,"5,9"
