Rec #,Lang,Course,Lesson,Cluster,Qz #,Spkr,Cue,Transliteration,MP3 Snippet File Name,MP3 Audio ISBN,Premium ISBN,Skills
1,KO,Korean 2,1,,01Q,N,I didn�t buy much.,,9781508298212_Korean_Level_2_QM_001.mp3,9781508218036,9781508298212,14
2,KO,Korean 2,1,,01R,F,__ _ ___.,byeollo an sass eoyo,9781508298212_Korean_Level_2_QM_002.mp3,9781508218036,9781508298212,14
3,KO,Korean 2,1,,02Q,N,I don�t have much time,,9781508298212_Korean_Level_2_QM_003.mp3,9781508218036,9781508298212,"17,18"
4,KO,Korean 2,1,,02R,F,__ ___ ___.,byeollo sigan i eops eoyo.,9781508298212_Korean_Level_2_QM_004.mp3,9781508218036,9781508298212,"17,18"
5,KO,Korean 2,1,,03Q,N,It�s an extremely good book.,,9781508298212_Korean_Level_2_QM_005.mp3,9781508218036,9781508298212,1
6,KO,Korean 2,1,,03R,F,_ __ ____.,cham joeun chaek i eyo,9781508298212_Korean_Level_2_QM_006.mp3,9781508218036,9781508298212,1
7,KO,Korean 2,1,,04Q,N,I spoke Korean.,,9781508298212_Korean_Level_2_QM_007.mp3,9781508218036,9781508298212,7
8,KO,Korean 2,1,,04R,F,___ ___.,hankuk mal haess eoyo.,9781508298212_Korean_Level_2_QM_008.mp3,9781508218036,9781508298212,7
9,KO,Korean 2,1,,05Q,N,I will probably stay another two weeks.,,9781508298212_Korean_Level_2_QM_009.mp3,9781508218036,9781508298212,"12,17"
10,KO,Korean 2,1,,05R,F,_ __ _ __ ___.,i juil deo iss eul geo yeyo.,9781508298212_Korean_Level_2_QM_010.mp3,9781508218036,9781508298212,"12,17"
11,KO,Korean 2,1,,06Q,N,Won�t you eat dinner with me?,,9781508298212_Korean_Level_2_QM_011.mp3,9781508218036,9781508298212,6
12,KO,Korean 2,1,,06R,M,__ __ _ _____?,jeo wa jeonyeok an deusi kess eoyo?,9781508298212_Korean_Level_2_QM_012.mp3,9781508218036,9781508298212,6
13,KO,Korean 2,1,,07Q,N,I bought this book in a bookstore.,,9781508298212_Korean_Level_2_QM_013.mp3,9781508218036,9781508298212,"1,14"
14,KO,Korean 2,1,,07R,M,____ _ __ ___.,seojeom eseo i chaek eul sass eoyo.,9781508298212_Korean_Level_2_QM_014.mp3,9781508218036,9781508298212,"1,14"
15,KO,Korean 2,1,,08Q,N,I did shopping.,,9781508298212_Korean_Level_2_QM_015.mp3,9781508218036,9781508298212,14
16,KO,Korean 2,1,,08R,M,___ ___.,shoping eul haess eoyo.,9781508298212_Korean_Level_2_QM_016.mp3,9781508218036,9781508298212,14
17,KO,Korean 2,1,,09Q,N,I will probably stay another ninety days.,,9781508298212_Korean_Level_2_QM_017.mp3,9781508218036,9781508298212,"12,17"
18,KO,Korean 2,1,,09R,M,___ _ __ ___.,ku sip il deo iss eul geo yeyo.,9781508298212_Korean_Level_2_QM_018.mp3,9781508218036,9781508298212,"12,17"
19,KO,Korean 2,1,,10Q,N,I will probably stay here another two weeks.,,9781508298212_Korean_Level_2_QM_019.mp3,9781508218036,9781508298212,"12,17"
20,KO,Korean 2,1,,10R,M,___ _ __ _ __ ___.,yeoki e i juil deo iss eul geo yeyo.,9781508298212_Korean_Level_2_QM_020.mp3,9781508218036,9781508298212,"12,17"
21,KO,Korean 2,2,,01Q,N,I didn�t do anything.,,9781508298212_Korean_Level_2_QM_021.mp3,9781508218036,9781508298212,1
22,KO,Korean 2,2,,01R,F,____ _ ___.,amu keotdo an haess eoyo.,9781508298212_Korean_Level_2_QM_022.mp3,9781508218036,9781508298212,1
23,KO,Korean 2,2,,02Q,N,Won�t you go?,,9781508298212_Korean_Level_2_QM_023.mp3,9781508218036,9781508298212,1
24,KO,Korean 2,2,,02R,F,_ ___?,an kallae yo?,9781508298212_Korean_Level_2_QM_024.mp3,9781508218036,9781508298212,1
25,KO,Korean 2,2,,03Q,N,Won�t you go together?,,9781508298212_Korean_Level_2_QM_025.mp3,9781508218036,9781508298212,1
26,KO,Korean 2,2,,03R,F,__ _ ___?,gachi an kallae yo?,9781508298212_Korean_Level_2_QM_026.mp3,9781508218036,9781508298212,1
27,KO,Korean 2,2,,04Q,N,I have to leave soon.,,9781508298212_Korean_Level_2_QM_027.mp3,9781508218036,9781508298212,18
28,KO,Korean 2,2,,04R,F,__ __ __.,ije kaya dwae yo.,9781508298212_Korean_Level_2_QM_028.mp3,9781508218036,9781508298212,18
29,KO,Korean 2,2,,05Q,N,I also have to leave soon.,,9781508298212_Korean_Level_2_QM_029.mp3,9781508218036,9781508298212,18
30,KO,Korean 2,2,,05R,F,__ __ __ __.,jeo do ije kaya dwae yo.,9781508298212_Korean_Level_2_QM_030.mp3,9781508218036,9781508298212,18
31,KO,Korean 2,2,,06Q,N,I went by subway.,,9781508298212_Korean_Level_2_QM_031.mp3,9781508218036,9781508298212,18
