Rec #,Lang,ISBN-13,Course,Unit Num,start,stop,QZ #,line #,spkr,Cue,#of words,Q or S,Course Name (Source),Snippet Name,Skills,,
1,FR,9781797109213,French 3,1,N/A,N/A,01Q,N/A,N,At six o’clock in the evening.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_001.mp3,"12,17",,
2,FR,9781797109213,French 3,1,N/A,N/A,01R,N/A,M,À six heures du soir.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_002.mp3,"12,17",,
3,FR,9781797109213,French 3,1,N/A,N/A,02Q,N/A,N,That’s all right.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_003.mp3,"7,16",,
4,FR,9781797109213,French 3,1,N/A,N/A,02R,N/A,M,Ce n’est pas grave.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_004.mp3,"7,16",,
5,FR,9781797109213,French 3,1,N/A,N/A,03Q,N/A,N,Can I come by bus?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_005.mp3,18,,
6,FR,9781797109213,French 3,1,N/A,N/A,03R,N/A,M,Est-ce que je peux venir en bus?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_006.mp3,18,,
7,FR,9781797109213,French 3,1,N/A,N/A,04Q,N/A,N,Did you come by bus?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_007.mp3,18,, 
8,FR,9781797109213,French 3,1,N/A,N/A,04R,N/A,M,Est-ce que vous êtes venu en bus?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_008.mp3,18,,
9,FR,9781797109213,French 3,1,N/A,N/A,05Q,N/A,N,I’m sorry to be late.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_009.mp3,"13,16",,
10,FR,9781797109213,French 3,1,N/A,N/A,05R,N/A,M,Je suis désolé d’être en retard.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_010.mp3,"13,16",,
11,FR,9781797109213,French 3,1,N/A,N/A,06Q,N/A,N,I’m late.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_011.mp3,17,,
12,FR,9781797109213,French 3,1,N/A,N/A,06R,N/A,F,Je suis en retard.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_012.mp3,17,,
13,FR,9781797109213,French 3,1,N/A,N/A,07Q,N/A,N,I came by bus.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_013.mp3,18,,
14,FR,9781797109213,French 3,1,N/A,N/A,07R,N/A,F,Je suis venu en bus.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_014.mp3,18,,
15,FR,9781797109213,French 3,1,N/A,N/A,08Q,N/A,N,Show me.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_015.mp3,"7,16",,
16,FR,9781797109213,French 3,1,N/A,N/A,08R,N/A,F,Montrez-moi.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_016.mp3,"7,16",,
17,FR,9781797109213,French 3,1,N/A,N/A,09Q,N/A,N,Show me on the map where you live.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_017.mp3,4,,
18,FR,9781797109213,French 3,1,N/A,N/A,09R,N/A,F,Montrez-moi sur le plan où vous habitez.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_018.mp3,4,,
19,FR,9781797109213,French 3,1,N/A,N/A,10Q,N/A,N,We can have an aperitif before lunch.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_019.mp3,6,,
20,FR,9781797109213,French 3,1,N/A,N/A,10R,N/A,F,On peut prendre l’apéritif avant le déjeuner.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_020.mp3,6,,
21,FR,9781797109213,French 3,1,N/A,N/A,11Q,N/A,N,What if we went to have lunch?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_021.mp3,"1,6",,
22,FR,9781797109213,French 3,1,N/A,N/A,11R,N/A,M,Si on allait déjeuner?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_022.mp3,"1,6",,
23,FR,9781797109213,French 3,1,N/A,N/A,12Q,N/A,N,Come at noon.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_023.mp3,"1,17",,
24,FR,9781797109213,French 3,1,N/A,N/A,12R,N/A,M,Venez à midi.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_024.mp3,"1,17",,
25,FR,9781797109213,French 3,1,N/A,N/A,13Q,N/A,N,You don’t need this map.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_025.mp3,4,,
26,FR,9781797109213,French 3,1,N/A,N/A,13R,N/A,M,Vous n’avez pas besoin de ce plan.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_026.mp3,4,,
27,FR,9781797109213,French 3,2,N/A,N/A,01Q,N/A,N,Cheers!,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_027.mp3,"7,16",,
28,FR,9781797109213,French 3,2,N/A,N/A,01R,N/A,M,À votre santé!,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_028.mp3,"7,16",,
29,FR,9781797109213,French 3,2,N/A,N/A,02Q,N/A,N,Is it very hot in the summer?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_029.mp3,19,,
30,FR,9781797109213,French 3,2,N/A,N/A,02R,N/A,M,Est-ce qu’il fait très chaud en été?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_030.mp3,19,,
31,FR,9781797109213,French 3,2,N/A,N/A,03Q,N/A,N,Does it snow?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_031.mp3,19,,
32,FR,9781797109213,French 3,2,N/A,N/A,03R,N/A,F,Est-ce qu’il neige?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_032.mp3,19,,
33,FR,9781797109213,French 3,2,N/A,N/A,04Q,N/A,N,It snowed a lot last weekend.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_033.mp3,"17,19",,
34,FR,9781797109213,French 3,2,N/A,N/A,04R,N/A,F,Il a beaucoup neigé le week-end dernier.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_034.mp3,"17,19",,
35,FR,9781797109213,French 3,2,N/A,N/A,05Q,N/A,N,"Last week, it snowed a little.",N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_035.mp3,"17,19",,
36,FR,9781797109213,French 3,2,N/A,N/A,05R,N/A,F,"La semaine dernière, il a un peu neigé.",N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_036.mp3,"17,19",,
37,FR,9781797109213,French 3,2,N/A,N/A,06Q,N/A,N,It never snows much.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_037.mp3,19,,
38,FR,9781797109213,French 3,2,N/A,N/A,06R,N/A,F,Il ne neige jamais beaucoup.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_038.mp3,19,,
39,FR,9781797109213,French 3,2,N/A,N/A,07Q,N/A,N,It’s pretty cold now.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_039.mp3,19,,
40,FR,9781797109213,French 3,2,N/A,N/A,07R,N/A,F,Il fait assez froid maintenant.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_040.mp3,19,,
41,FR,9781797109213,French 3,2,N/A,N/A,08Q,N/A,N,He’s taking some French classes.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_041.mp3,"5,15",,
42,FR,9781797109213,French 3,2,N/A,N/A,08R,N/A,M,Il prend des cours de français.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_042.mp3,"5,15",,
43,FR,9781797109213,French 3,2,N/A,N/A,09Q,N/A,N,Here’s a photo of my son.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_043.mp3,5,,
44,FR,9781797109213,French 3,2,N/A,N/A,09R,N/A,M,Voilà une photo de mon fils.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_044.mp3,5,,
45,FR,9781797109213,French 3,2,N/A,N/A,10Q,N/A,N,"But yes, gladly!",N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_045.mp3,"7,16",,
46,FR,9781797109213,French 3,2,N/A,N/A,10R,N/A,M,"Mais oui, volontiers!",N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_046.mp3,"7,16",,
47,FR,9781797109213,French 3,2,N/A,N/A,11Q,N/A,N,Here are a few photos of my family.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_047.mp3,5,,
48,FR,9781797109213,French 3,2,N/A,N/A,11R,N/A,M,Voilà quelques photos de ma famille.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_048.mp3,5,,
49,FR,9781797109213,French 3,2,N/A,N/A,12Q,N/A,N,You are from which city?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_049.mp3,10,,
50,FR,9781797109213,French 3,2,N/A,N/A,12R,N/A,M,Vous êtes de quelle ville?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_050.mp3,10,,
51,FR,9781797109213,French 3,3,N/A,N/A,01Q,N/A,N,She’s almost sixteen years old.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_051.mp3,"5,12",,
52,FR,9781797109213,French 3,3,N/A,N/A,01R,N/A,F,Elle a presque seize ans.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_052.mp3,"5,12",,
53,FR,9781797109213,French 3,3,N/A,N/A,02Q,N/A,N,Did it rain?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_053.mp3,19,,
54,FR,9781797109213,French 3,3,N/A,N/A,02R,N/A,F,Est-ce qu’il a plu?,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_054.mp3,19,,
55,FR,9781797109213,French 3,3,N/A,N/A,03Q,N/A,N,It rained a lot.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_055.mp3,19,,
56,FR,9781797109213,French 3,3,N/A,N/A,03R,N/A,F,Il a beaucoup plu.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_056.mp3,19,,
57,FR,9781797109213,French 3,3,N/A,N/A,04Q,N/A,N,He grew up in France.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_057.mp3,5,,
58,FR,9781797109213,French 3,3,N/A,N/A,04R,N/A,F,Il a grandi en France.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_058.mp3,5,,
59,FR,9781797109213,French 3,3,N/A,N/A,05Q,N/A,N,I grew up in New York.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_059.mp3,"7,16",,
60,FR,9781797109213,French 3,3,N/A,N/A,05R,N/A,F,J’ai grandi à New York.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_060.mp3,"7,16",,
61,FR,9781797109213,French 3,3,N/A,N/A,06Q,N/A,N,I have a photo of him.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_061.mp3,5,,
62,FR,9781797109213,French 3,3,N/A,N/A,06R,N/A,M,J’ai une photo de lui.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_062.mp3,5,,
63,FR,9781797109213,French 3,3,N/A,N/A,07Q,N/A,N,I would quite like to show them to you.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_063.mp3,5,,
64,FR,9781797109213,French 3,3,N/A,N/A,07R,N/A,M,J’aimerais bien vous les montrer.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_064.mp3,5,,
65,FR,9781797109213,French 3,3,N/A,N/A,08Q,N/A,N,I would quite like to go there this summer.,N/A,N/A,Pimsleur French Level 3 Core Update MP3,9781797109213_French_3_QM_065.mp3,18,,
