Rec #,Lang,ISBN-13,Course,Unit Num,start,stop,QZ #,line #,Spkr,Cue,#of words,Q or S,Course Name (Source),Snippet Name,Skills
1,SP,9781797110219,Spanish 3,01,00:00.000,00:00.000,01Q,0,N,What does he do?,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_001.mp3,20
2,SP,9781797110219,Spanish 3,01,00:00.000,00:00.000,01R,0,M,¿A qué se dedica?,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_002.mp3,20
3,SP,9781797110219,Spanish 3,01,00:00.000,00:00.000,02Q,0,N,What do you do?,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_003.mp3,20
4,SP,9781797110219,Spanish 3,01,00:00.000,00:00.000,02R,0,M,¿A qué te dedicas?,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_004.mp3,20
5,SP,9781797110219,Spanish 3,01,00:00.000,00:00.000,03Q,0,N,In the summer it’s very hot.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_005.mp3,19
6,SP,9781797110219,Spanish 3,01,00:00.000,00:00.000,03R,0,M,En el verano hace mucho calor.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_006.mp3,19
7,SP,9781797110219,Spanish 3,01,00:00.000,00:00.000,04Q,0,N,I introduce myself.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_007.mp3,10
8,SP,9781797110219,Spanish 3,01,00:00.000,00:00.000,04R,0,M,Me presento.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_008.mp3,10
9,SP,9781797110219,Spanish 3,01,00:00.000,00:00.000,05Q,0,N,It’s a pleasure to meet you. (informal),n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_009.mp3,"10,16"
10,SP,9781797110219,Spanish 3,01,00:00.000,00:00.000,05R,0,M,Mucho gusto en conocerte.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_010.mp3,"10,16"
11,SP,9781797110219,Spanish 3,01,00:00.000,00:00.000,06Q,0,N,I also work at a company.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_011.mp3,20
12,SP,9781797110219,Spanish 3,01,00:00.000,00:00.000,06R,0,F,También trabajo en una empresa.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_012.mp3,20
13,SP,9781797110219,Spanish 3,01,00:00.000,00:00.000,07Q,0,N,I introduce you to my colleague.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_013.mp3,"10,20"
14,SP,9781797110219,Spanish 3,01,00:00.000,00:00.000,07R,0,F,Te presento a mi colega.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_014.mp3,"10,20"
15,SP,9781797110219,Spanish 3,01,00:00.000,00:00.000,08Q,0,N,I have to travel frequently.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_015.mp3,18
16,SP,9781797110219,Spanish 3,01,00:00.000,00:00.000,08R,0,F,Tengo que viajar con frecuencia.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_016.mp3,18
17,SP,9781797110219,Spanish 3,01,00:00.000,00:00.000,09Q,0,N,I work at a Mexican company.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_017.mp3,20
18,SP,9781797110219,Spanish 3,01,00:00.000,00:00.000,09R,0,F,Trabajo en una empresa mexicana.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_018.mp3,20
19,SP,9781797110219,Spanish 3,01,00:00.000,00:00.000,10Q,0,N,"It’s a pleasure to meet you. (formal, m)",n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_019.mp3,"10,16"
20,SP,9781797110219,Spanish 3,01,00:00.000,00:00.000,10R,0,F,Mucho gusto en conocerlo.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_020.mp3,"10,16"
21,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,01Q,0,N,What does he do at the bank?,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_021.mp3,20
22,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,01R,0,M,¿A qué se dedica en el banco?,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_022.mp3,20
23,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,02Q,0,N,It depends on many things.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_023.mp3,7
24,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,02R,0,M,Depende de muchas cosas.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_024.mp3,7
25,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,03Q,0,N,It depends on the weather.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_025.mp3,19
26,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,03R,0,M,Depende del clima.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_026.mp3,19
27,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,04Q,0,N,How long have they lived in Spain?,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_027.mp3,5
28,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,04R,0,M,¿Desde cuándo viven en España?,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_028.mp3,5
29,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,05Q,0,N,They aren’t sure.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_029.mp3,7
30,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,05R,0,M,Ellos no están seguros.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_030.mp3,7
31,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,06Q,0,N,You really speak Spanish very well.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_031.mp3,15
32,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,06R,0,F,En verdad hablas español muy bien.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_032.mp3,15
33,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,07Q,0,N,"Really, in the summer we don’t like to travel.",n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_033.mp3,"18,19"
34,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,07R,0,F,"En verdad, en verano no nos gusta viajar.",n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_034.mp3,"18,19"
35,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,08Q,0,N,She’s a manager of an American bank.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_035.mp3,20
36,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,08R,0,F,Es gerente de un banco norteamericano.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_036.mp3,20
37,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,09Q,0,N,"Your sister, what does she do?",n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_037.mp3,5
38,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,09R,0,F,¿Tu hermana ¿a qué se dedica?,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_038.mp3,5
39,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,10Q,0,N,He’s married.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_039.mp3,5
40,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,10R,0,F,Está casado.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_040.mp3,5
41,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,11Q,0,N,Are you married?,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_041.mp3,5
42,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,11R,0,M,¿Estás casada?,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_042.mp3,5
43,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,12Q,0,N,I’m married to an American.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_043.mp3,5
44,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,12R,0,M,Estoy casada con un norteamericana.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_044.mp3,5
45,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,13Q,0,N,Thanks for the compliment.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_045.mp3,"13,16"
46,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,13R,0,M,Gracias por el cumplido.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_046.mp3,"13,16"
47,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,14Q,0,N,Your sister is very beautiful.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_047.mp3,5
48,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,14R,0,M,Tu hermana es muy bonita.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_048.mp3,5
49,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,15Q,0,N,My brother lives there.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_049.mp3,5
50,SP,9781797110219,Spanish 3,02,00:00.000,00:00.000,15R,0,M,Mi hermano vive allí.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_050.mp3,5
51,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,01Q,0,N,"Besides, my brother is married to a Spaniard.",n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_051.mp3,5
52,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,01R,0,F,"Además, mi hermano está casado con una española.",n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_052.mp3,5
53,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,02Q,0,N,How goes your English?,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_053.mp3,15
54,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,02R,0,F,¿Cómo va tu inglés?,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_054.mp3,15
55,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,03Q,0,N,Which is more difficult?,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_055.mp3,15
56,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,03R,0,F,¿Cuál es más difícil?,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_056.mp3,15
57,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,04Q,0,N,Where did you learn Spanish?,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_057.mp3,15
58,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,04R,0,F,¿Dónde aprendiste español?,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_058.mp3,15
59,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,05Q,0,N,English is difficult.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_059.mp3,15
60,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,05R,0,F,El inglés es difícil.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_060.mp3,15
61,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,06Q,0,N,He’s Chilean.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_061.mp3,5
62,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,06R,0,M,Es chileno.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_062.mp3,5
63,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,07Q,0,N,She’s an engineer too.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_063.mp3,"5,20"
64,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,07R,0,M,Es ingeniera también.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_064.mp3,"5,20"
65,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,08Q,0,N,It’s easier than Spanish.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_065.mp3,15
66,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,08R,0,M,Es más fácil que el español.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_066.mp3,15
67,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,09Q,0,N,A new engineer is arriving.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_067.mp3,20
68,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,09R,0,M,Llega un nuevo ingeniero.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_068.mp3,20
69,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,10Q,0,N,My brother works at a Chilean company.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_069.mp3,"5,20"
70,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,10R,0,M,Mi hermano trabaja en una empresa chilena.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_070.mp3,"5,20"
71,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,11Q,0,N,It wasn’t easy for me.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_071.mp3,7
72,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,11R,0,F,No fue fácil para mí.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_072.mp3,7
73,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,12Q,0,N,What did you say?,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_073.mp3,"15,16"
74,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,12R,0,F,¿Qué dijiste?,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_074.mp3,"15,16"
75,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,13Q,0,N,Surely not!,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_075.mp3,7
76,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,13R,0,F,¡Seguro que no!,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_076.mp3,7
77,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,14Q,0,N,For sure!,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_077.mp3,7
78,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,14R,0,F,¡Seguro que sí!,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_078.mp3,7
79,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,15Q,0,N,He also works at a tech company.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_079.mp3,20
80,SP,9781797110219,Spanish 3,03,00:00.000,00:00.000,15R,0,F,También trabaja en una empresa de tecnología.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_080.mp3,20
81,SP,9781797110219,Spanish 3,04,00:00.000,00:00.000,01Q,0,N,She buys and sells wine.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_081.mp3,"14,20"
82,SP,9781797110219,Spanish 3,04,00:00.000,00:00.000,01R,0,M,Compra y vende vino.,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_082.mp3,"14,20"
83,SP,9781797110219,Spanish 3,04,00:00.000,00:00.000,02Q,0,N,Where did you learn it?  (m),n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_083.mp3,15
84,SP,9781797110219,Spanish 3,04,00:00.000,00:00.000,02R,0,M,¿Dónde lo aprendiste?,n/a,n/a,Spanish Level 3 Core Update,9781797110219_Spanish_3_QZ_084.mp3,15
