Rec #,Lang,Course,Lesson,Cluster,Qz #,Spkr,Cue,Transliteration,MP3 Snippet File Name,MP3 Audio ISBN,Premium ISBN
1,HE,Hebrew 2,1 ,,01Q,N,I don’t like to eat at the hotel. (m),,9781797114514_Hebrew_2_QZ_001.mp3,9781442330801,9781797114514
2,HE,Hebrew 2,1 ,,01R,M,אני לא אוהב לאכול במלון.,Ani lo ohev le’echol ba'malon.,9781797114514_Hebrew_2_QZ_002.mp3,9781442330801,9781797114514
3,HE,Hebrew 2,1 ,,02Q,N,I bought a lot of things.,,9781797114514_Hebrew_2_QZ_003.mp3,9781442330801,9781797114514
4,HE,Hebrew 2,1 ,,02R,M,קניתי הרבה דברים.,Kaniti harbe dvarim.,9781797114514_Hebrew_2_QZ_004.mp3,9781442330801,9781797114514
5,HE,Hebrew 2,1 ,,03Q,N,We went to the Wailing Wall.,,9781797114514_Hebrew_2_QZ_005.mp3,9781442330801,9781797114514
6,HE,Hebrew 2,1 ,,03R,M,הלכנו לכותל המערבי,Halachnu laKotel Ha'ma’aravi.,9781797114514_Hebrew_2_QZ_006.mp3,9781442330801,9781797114514
7,HE,Hebrew 2,1 ,,04Q,N,I bought a newspaper.,,9781797114514_Hebrew_2_QZ_007.mp3,9781442330801,9781797114514
8,HE,Hebrew 2,1 ,,04R,M,קניתי עיתון.,Kaniti mashehu.,9781797114514_Hebrew_2_QZ_008.mp3,9781442330801,9781797114514
9,HE,Hebrew 2,1 ,,05Q,N,I like Tel Aviv very much.,,9781797114514_Hebrew_2_QZ_009.mp3,9781442330801,9781797114514
10,HE,Hebrew 2,1 ,,05R,M,תל אביב מאודמוצאת חן בעיני.,Tel Aviv meod motzet chen be’einai.,9781797114514_Hebrew_2_QZ_010.mp3,9781442330801,9781797114514
11,HE,Hebrew 2,1 ,,06Q,N,Where are you going?  (on foot) (f),,9781797114514_Hebrew_2_QZ_011.mp3,9781442330801,9781797114514
12,HE,Hebrew 2,1 ,,06R,F,לאן את הולכת?,Le'an at holechet?,9781797114514_Hebrew_2_QZ_012.mp3,9781442330801,9781797114514
13,HE,Hebrew 2,1 ,,07Q,N,What did you do? (m),,9781797114514_Hebrew_2_QZ_013.mp3,9781442330801,9781797114514
14,HE,Hebrew 2,1 ,,07R,F,מה עשית?,Ma asita?,9781797114514_Hebrew_2_QZ_014.mp3,9781442330801,9781797114514
15,HE,Hebrew 2,1 ,,08Q,N,Today I’m going to buy something for my husband.,,9781797114514_Hebrew_2_QZ_015.mp3,9781442330801,9781797114514
16,HE,Hebrew 2,1 ,,08R,F,היום אני הולכת לקנות משהו בשביל בעלי.,Ha'yom ani holechet liknot mashehu bishvil ba’ali.,9781797114514_Hebrew_2_QZ_016.mp3,9781442330801,9781797114514
17,HE,Hebrew 2,1 ,,09Q,N,How long are you staying here? (m),,9781797114514_Hebrew_2_QZ_017.mp3,9781442330801,9781797114514
18,HE,Hebrew 2,1 ,,09R,F,כמה זמן אתה נשאר פה?,Kama zman ata nish’ar po?,9781797114514_Hebrew_2_QZ_018.mp3,9781442330801,9781797114514
19,HE,Hebrew 2,1 ,,10Q,N,What did you buy? (m),,9781797114514_Hebrew_2_QZ_019.mp3,9781442330801,9781797114514
20,HE,Hebrew 2,1 ,,10R,F,מה קנית?,Ma kanita?,9781797114514_Hebrew_2_QZ_020.mp3,9781442330801,9781797114514
21,HE,Hebrew 2,2 ,,01Q,N,We are staying in Tel Aviv two days.,,9781797114514_Hebrew_2_QZ_021.mp3,9781442330801,9781797114514
22,HE,Hebrew 2,2 ,,01R,M,אנחנו נשארים בתל אביב יומיים.,Anachnu nisharim be'Tel Aviv yomayim.,9781797114514_Hebrew_2_QZ_022.mp3,9781442330801,9781797114514
23,HE,Hebrew 2,2 ,,02Q,N,We’re going to see our daughter.,,9781797114514_Hebrew_2_QZ_023.mp3,9781442330801,9781797114514
24,HE,Hebrew 2,2 ,,02R,M,אנחנו נוסעים לראות את הבת שלנו.,Anachnu nos’im lir'ot et ha'bat shelanu.,9781797114514_Hebrew_2_QZ_024.mp3,9781442330801,9781797114514
25,HE,Hebrew 2,2 ,,03Q,N,Our daughter lives in Haifa.,,9781797114514_Hebrew_2_QZ_025.mp3,9781442330801,9781797114514
26,HE,Hebrew 2,2 ,,03R,M,הבת שלנו גרה בחיפה.,Ha'bat shelanu gara be'Chaifa.,9781797114514_Hebrew_2_QZ_026.mp3,9781442330801,9781797114514
27,HE,Hebrew 2,2 ,,04Q,N,We’re going to see our son.,,9781797114514_Hebrew_2_QZ_027.mp3,9781442330801,9781797114514
28,HE,Hebrew 2,2 ,,04R,M,אנחנו נוסעים לראות את הבן שלנו.,Anachnu nos’im lir'ot et ha'ben shelanu.,9781797114514_Hebrew_2_QZ_028.mp3,9781442330801,9781797114514
29,HE,Hebrew 2,2 ,,05Q,N,I’m going to work here. (m),,9781797114514_Hebrew_2_QZ_029.mp3,9781442330801,9781797114514
30,HE,Hebrew 2,2 ,,05R,M,אני הולך לעבוד פה.,Ani holech la’avod po.,9781797114514_Hebrew_2_QZ_030.mp3,9781442330801,9781797114514
31,HE,Hebrew 2,2 ,,06Q,N,Why are you in Tel Aviv? (m),,9781797114514_Hebrew_2_QZ_031.mp3,9781442330801,9781797114514
32,HE,Hebrew 2,2 ,,06R,F,למה אתה בתל אביב?,Lama ata be'Tel Aviv?,9781797114514_Hebrew_2_QZ_032.mp3,9781442330801,9781797114514
33,HE,Hebrew 2,2 ,,07Q,N,I didn’t see anything.,,9781797114514_Hebrew_2_QZ_033.mp3,9781442330801,9781797114514
34,HE,Hebrew 2,2 ,,07R,F,לא ראיתי כלום.,Lo raeeti kloom.,9781797114514_Hebrew_2_QZ_034.mp3,9781442330801,9781797114514
35,HE,Hebrew 2,2 ,,08Q,N,Did you see friends here? (m),,9781797114514_Hebrew_2_QZ_035.mp3,9781442330801,9781797114514
36,HE,Hebrew 2,2 ,,08R,F,ראית חברים פה?,Raeeta chaverim po?,9781797114514_Hebrew_2_QZ_036.mp3,9781442330801,9781797114514
37,HE,Hebrew 2,2 ,,09Q,N,She is going to work in Haifa.,,9781797114514_Hebrew_2_QZ_037.mp3,9781442330801,9781797114514
38,HE,Hebrew 2,2 ,,09R,F,היא הולכת לעבוד בחיפה.,Hee holechet la’avod be'Chaifa.,9781797114514_Hebrew_2_QZ_038.mp3,9781442330801,9781797114514
39,HE,Hebrew 2,2 ,,10Q,N,"No, I didn’t see friends.",,9781797114514_Hebrew_2_QZ_039.mp3,9781442330801,9781797114514
40,HE,Hebrew 2,2 ,,10R,F,"לא, לא ראיתי חברים.","Lo, lo raeeti chaverim.",9781797114514_Hebrew_2_QZ_040.mp3,9781442330801,9781797114514
41,HE,Hebrew 2,3 ,,01Q,N,I didn’t have much time. (m),,9781797114514_Hebrew_2_QZ_041.mp3,9781442330801,9781797114514
42,HE,Hebrew 2,3 ,,01R,M,לא היה לי הרבה זמן.,Lo haya li harbe zman.,9781797114514_Hebrew_2_QZ_042.mp3,9781442330801,9781797114514
43,HE,Hebrew 2,3 ,,02Q,N,I had a lot of work. (m),,9781797114514_Hebrew_2_QZ_043.mp3,9781442330801,9781797114514
44,HE,Hebrew 2,3 ,,02R,M,היתה לי הרבה עבודה.,Hayta li harbe avoda.,9781797114514_Hebrew_2_QZ_044.mp3,9781442330801,9781797114514
45,HE,Hebrew 2,3 ,,03Q,N,What did you do today? (f),,9781797114514_Hebrew_2_QZ_045.mp3,9781442330801,9781797114514
46,HE,Hebrew 2,3 ,,03R,M,מה עשית היום?,Ma asit ha'yom?,9781797114514_Hebrew_2_QZ_046.mp3,9781442330801,9781797114514
47,HE,Hebrew 2,3 ,,04Q,N,When did you arrive? (pl),,9781797114514_Hebrew_2_QZ_047.mp3,9781442330801,9781797114514
48,HE,Hebrew 2,3 ,,04R,M,מתי היגעתם?,Matai higa’atem?,9781797114514_Hebrew_2_QZ_048.mp3,9781442330801,9781797114514
49,HE,Hebrew 2,3 ,,05Q,N,We arrived last night.,,9781797114514_Hebrew_2_QZ_049.mp3,9781442330801,9781797114514
50,HE,Hebrew 2,3 ,,05R,M,היגענו אתמול בערב.,Higa’nu etmol ba'erev.,9781797114514_Hebrew_2_QZ_050.mp3,9781442330801,9781797114514
51,HE,Hebrew 2,3 ,,06Q,N,We need a car.,,9781797114514_Hebrew_2_QZ_051.mp3,9781442330801,9781797114514
52,HE,Hebrew 2,3 ,,06R,F,אנחנו צריכים מכונית.,Anachnu tzrichim mechonit.,9781797114514_Hebrew_2_QZ_052.mp3,9781442330801,9781797114514
53,HE,Hebrew 2,3 ,,07Q,N,Our son arrived this morning.,,9781797114514_Hebrew_2_QZ_053.mp3,9781442330801,9781797114514
54,HE,Hebrew 2,3 ,,07R,F,הבן שלנו הגיע הבוקר.,Ha'ben shelanu higia haboker.,9781797114514_Hebrew_2_QZ_054.mp3,9781442330801,9781797114514
55,HE,Hebrew 2,3 ,,08Q,N,We want to see our son.,,9781797114514_Hebrew_2_QZ_055.mp3,9781442330801,9781797114514
