Rec #,Lang ,Course,Lesson,Cluster,Qz #,Spkr,Cue,Transliteration,MP3 Snippet File Name,MP3 Audio ISBN,Premium ISBN,Skills
1,GK,Greek 2,1,,01Q,N,I bought something for the little one yesterday.,,9781797115382_Greek_2_QZ_001.mp3,9781442320246,9781797115382,"5,14"
2,GK,Greek 2,1,,01R,F,Αγόρασα κάτι για τη μικρή χθες.,Agórasa káti gia ti mikrí chthes.,9781797115382_Greek_2_QZ_002.mp3,9781442320246,9781797115382,"5,14"
3,GK,Greek 2,1,,02Q,N,"No, with our older daughter.",,9781797115382_Greek_2_QZ_003.mp3,9781442320246,9781797115382,5
4,GK,Greek 2,1,,02R,F,"Όχι, με τη μεγάλη κόρη μας.","Ochi, me ti megáli kóri mas.",9781797115382_Greek_2_QZ_004.mp3,9781442320246,9781797115382,5
5,GK,Greek 2,1,,03Q,N,I would like to buy something for my daughter.,,9781797115382_Greek_2_QZ_005.mp3,9781442320246,9781797115382,"5,14"
6,GK,Greek 2,1,,03R,F,Θα ήθελα να αγοράσω κάτι για την κόρη μου.,Tha íthela na agoráso káti gia tin kóri mou.,9781797115382_Greek_2_QZ_006.mp3,9781442320246,9781797115382,"5,14"
7,GK,Greek 2,1,,04Q,N,An American newspaper for my husband.,,9781797115382_Greek_2_QZ_007.mp3,9781442320246,9781797115382,5
8,GK,Greek 2,1,,04R,F,Μία Αμερικάνικη εφημερίδα για τον άντρα μου.,Mía Amerikániki efimerítha gia ton ándra mou.,9781797115382_Greek_2_QZ_008.mp3,9781442320246,9781797115382,5
9,GK,Greek 2,1,,05Q,N,I want to buy a newspaper and some milk.,,9781797115382_Greek_2_QZ_009.mp3,9781442320246,9781797115382,"6,14"
10,GK,Greek 2,1,,05R,F,Θέλω να αγοράσω μία εφημερίδα και λίγο γάλα.,Thélo na agoráso mía efimerítha ke lígo gála.,9781797115382_Greek_2_QZ_010.mp3,9781442320246,9781797115382,"6,14"
11,GK,Greek 2,1,,06Q,N,Does your older daughter speak Greek?,,9781797115382_Greek_2_QZ_011.mp3,9781442320246,9781797115382,"5,15"
12,GK,Greek 2,1,,06R,M,Η μεγάλη κόρη σας μιλάει Ελληνικά;,I megáli kóri sas milái Elliniká?,9781797115382_Greek_2_QZ_012.mp3,9781442320246,9781797115382,"5,15"
13,GK,Greek 2,1,,07Q,N,We went with some American friends.,,9781797115382_Greek_2_QZ_013.mp3,9781442320246,9781797115382,5
14,GK,Greek 2,1,,07R,M,Πήγαμε με μερικούς Αμερικανούς φίλους.,Pígame me merikoús Amerikanoús fílous.,9781797115382_Greek_2_QZ_014.mp3,9781442320246,9781797115382,5
15,GK,Greek 2,1,,08Q,N,We went to the Acropolis with our daughter.,,9781797115382_Greek_2_QZ_015.mp3,9781442320246,9781797115382,5
16,GK,Greek 2,1,,08R,M,Πήγαμε στην Ακρόπολη με την κόρη μας.,Pígame stín Akrópoli me tin kóri mas.,9781797115382_Greek_2_QZ_016.mp3,9781442320246,9781797115382,5
17,GK,Greek 2,1,,09Q,N,I like Athens very much.,,9781797115382_Greek_2_QZ_017.mp3,9781442320246,9781797115382,18
18,GK,Greek 2,1,,09R,M,Μου αρέσει πολύ η Αθήνα.,Mou arési polí i Athína.,9781797115382_Greek_2_QZ_018.mp3,9781442320246,9781797115382,18
19,GK,Greek 2,1,,10Q,N,What did you do?,,9781797115382_Greek_2_QZ_019.mp3,9781442320246,9781797115382,7
20,GK,Greek 2,1,,10R,M,Τι κάνατε;,Ti kánate?,9781797115382_Greek_2_QZ_020.mp3,9781442320246,9781797115382,7
21,GK,Greek 2,2,,01Q,N,The younger one lives in Chania.,,9781797115382_Greek_2_QZ_021.mp3,9781442320246,9781797115382,"5,12"
22,GK,Greek 2,2,,01R,F,Η μικρή μένει στα Χανιά.,I mikrí méni sta Chaniá.,9781797115382_Greek_2_QZ_022.mp3,9781442320246,9781797115382,"5,12"
23,GK,Greek 2,2,,02Q,N,He rented a car.,,9781797115382_Greek_2_QZ_023.mp3,9781442320246,9781797115382,18
24,GK,Greek 2,2,,02R,F,Νοίκιασε ένα αυτοκίνητο.,Nekiase éna aftokínito.,9781797115382_Greek_2_QZ_024.mp3,9781442320246,9781797115382,18
25,GK,Greek 2,2,,03Q,N,Does your son have a car?,,9781797115382_Greek_2_QZ_025.mp3,9781442320246,9781797115382,"5,18"
26,GK,Greek 2,2,,03R,F,Ο γιός σας έχει αυτοκίνητο;,O giós sas échi aftokínito?,9781797115382_Greek_2_QZ_026.mp3,9781442320246,9781797115382,"5,18"
27,GK,Greek 2,2,,04Q,N,He needs a car.,,9781797115382_Greek_2_QZ_027.mp3,9781442320246,9781797115382,18
28,GK,Greek 2,2,,04R,F,Χρειάζεται αυτοκίνητο.,Chreázete aftokínito.,9781797115382_Greek_2_QZ_028.mp3,9781442320246,9781797115382,18
29,GK,Greek 2,2,,05Q,N,Do you like Patras?,,9781797115382_Greek_2_QZ_029.mp3,9781442320246,9781797115382,18
30,GK,Greek 2,2,,05R,F,Σας αρέσει η Πάτρα;,Sas arési i Pátra?,9781797115382_Greek_2_QZ_030.mp3,9781442320246,9781797115382,18
31,GK,Greek 2,2,,06Q,N,My wife rented a car.,,9781797115382_Greek_2_QZ_031.mp3,9781442320246,9781797115382,"5,18"
32,GK,Greek 2,2,,06R,M,Η γυναίκα μου νοίκιασε ένα αυτοκίνητο.,I ginéka mou nekiase éna aftokínito.,9781797115382_Greek_2_QZ_032.mp3,9781442320246,9781797115382,"5,18"
33,GK,Greek 2,2,,07Q,N,My wife is going to Chania.,,9781797115382_Greek_2_QZ_033.mp3,9781442320246,9781797115382,5
34,GK,Greek 2,2,,07R,M,Η γυναίκα μου πάει στα Χανιά.,I ginéka mou pái sta Chaniá.,9781797115382_Greek_2_QZ_034.mp3,9781442320246,9781797115382,5
35,GK,Greek 2,2,,08Q,N,I went to a good restaurant.,,9781797115382_Greek_2_QZ_035.mp3,9781442320246,9781797115382,6
36,GK,Greek 2,2,,08R,M,Πήγα σ’ένα καλό εστιατόριο.,Píga s’éna kaló estiatório.,9781797115382_Greek_2_QZ_036.mp3,9781442320246,9781797115382,6
37,GK,Greek 2,2,,09Q,N,She doesn’t need a car.,,9781797115382_Greek_2_QZ_037.mp3,9781442320246,9781797115382,18
38,GK,Greek 2,2,,09R,M,Δεν χρειάζεται αυτοκίνητο.,Then chreázete aftokínito.,9781797115382_Greek_2_QZ_038.mp3,9781442320246,9781797115382,18
39,GK,Greek 2,2,,10Q,N,Because our daughter doesn’t have a car.,,9781797115382_Greek_2_QZ_039.mp3,9781442320246,9781797115382,"5,18"
40,GK,Greek 2,2,,10R,M,Γιατί η κόρη μας δεν έχει αυτοκίνητο.,Giatí i kóri mas then échi aftokínito.,9781797115382_Greek_2_QZ_040.mp3,9781442320246,9781797115382,"5,18"
41,GK,Greek 2,3,,01Q,N,"Yes, I have too much work!",,9781797115382_Greek_2_QZ_041.mp3,9781442320246,9781797115382,20
42,GK,Greek 2,3,,01R,F,"Ναι, έχω πάρα πολλή δουλειά!","Ne, echo pára pollí thouliá!",9781797115382_Greek_2_QZ_042.mp3,9781442320246,9781797115382,20
43,GK,Greek 2,3,,02Q,N,We saw the old castle.,,9781797115382_Greek_2_QZ_043.mp3,9781442320246,9781797115382,18
