Rec #,Lang ,Course,Lesson,Cluster,Qz #,Spkr,Cue,Transliteration,MP3 Snippet File Name,MP3 Audio ISBN,Premium ISBN,Skills
1,GK,Greek 1,1,,01Q,N,Are you American? (m),,9781797115375_Greek_1_QZ_001.mp3,9781442319875,9781797115399,10
2,GK,Greek 1,1,,01R,F,Είστε Αμερικανός;,Iste Amerikanós?,9781797115375_Greek_1_QZ_002.mp3,9781442319875,9781797115399,10
3,GK,Greek 1,1,,02Q,N,Do you understand English?,,9781797115375_Greek_1_QZ_003.mp3,9781442319875,9781797115399,"10,15,16"
4,GK,Greek 1,1,,02R,F,Καταλαβαίνετε Αγγλικά;,Katalavénete Angliká?,9781797115375_Greek_1_QZ_004.mp3,9781442319875,9781797115399,"10,15,16"
5,GK,Greek 1,1,,03Q,N,Do you understand?,,9781797115375_Greek_1_QZ_005.mp3,9781442319875,9781797115399,"10,15,16"
6,GK,Greek 1,1,,03R,F,Kαταλαβαίνετε;,Katalavénete?,9781797115375_Greek_1_QZ_006.mp3,9781442319875,9781797115399,"10,15,16"
7,GK,Greek 1,1,,04Q,N,I understand a little Greek.,,9781797115375_Greek_1_QZ_007.mp3,9781442319875,9781797115399,"10,15,16"
8,GK,Greek 1,1,,04R,F,Καταλαβαίνω λίγο Ελληνικά.,Katalavéno lígo Elliniká.,9781797115375_Greek_1_QZ_008.mp3,9781442319875,9781797115399,"10,15,16"
9,GK,Greek 1,1,,05Q,N,I don’t understand English.,,9781797115375_Greek_1_QZ_009.mp3,9781442319875,9781797115399,"10,15,16"
10,GK,Greek 1,1,,05R,F,Δεν καταλαβαίνω Αγγλικά.,Then katalavéno Angliká.,9781797115375_Greek_1_QZ_010.mp3,9781442319875,9781797115399,"10,15,16"
11,GK,Greek 1,1,,06Q,N,I don’t understand.,,9781797115375_Greek_1_QZ_011.mp3,9781442319875,9781797115399,"10,15,16"
12,GK,Greek 1,1,,06R,M,Δεν καταλαβαίνω.,Then katalavéno.,9781797115375_Greek_1_QZ_012.mp3,9781442319875,9781797115399,"10,15,16"
13,GK,Greek 1,1,,07Q,N,"Excuse me, do you understand?",,9781797115375_Greek_1_QZ_013.mp3,9781442319875,9781797115399,"10,15,16"
14,GK,Greek 1,1,,07R,M,"Συγνώμη, καταλαβαίνετε;","Signóme, katalavénete?",9781797115375_Greek_1_QZ_014.mp3,9781442319875,9781797115399,"10,15,16"
15,GK,Greek 1,1,,08Q,N,I don't understand Greek.,,9781797115375_Greek_1_QZ_015.mp3,9781442319875,9781797115399,"10,15,16"
16,GK,Greek 1,1,,08R,M,Δεν καταλαβαίνω Ελληνικά.,Then katalavéno Elliniká.,9781797115375_Greek_1_QZ_016.mp3,9781442319875,9781797115399,"10,15,16"
17,GK,Greek 1,1,,09Q,N,"No, sir.",,9781797115375_Greek_1_QZ_017.mp3,9781442319875,9781797115399,"13,16"
18,GK,Greek 1,1,,09R,M,"Όχι, κύριε.","Ochi, kírie.",9781797115375_Greek_1_QZ_018.mp3,9781442319875,9781797115399,"13,16"
19,GK,Greek 1,1,,10Q,N,I understand Greek.,,9781797115375_Greek_1_QZ_019.mp3,9781442319875,9781797115399,"10,15,16"
20,GK,Greek 1,1,,10R,M,Καταλαβαίνω Ελληνικά.,Katalavéno Elliniká.,9781797115375_Greek_1_QZ_020.mp3,9781442319875,9781797115399,"10,15,16"
